============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  04:57:50 pm
  Module:                 FME_PIPE_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_CBI4I1X16           6      53.040      0.067       6.009    CORE65LPSVT 
HS65_LS_CBI4I1X21          18     215.280      0.362      20.191    CORE65LPSVT 
HS65_LS_CBI4I1X5           51     185.640      0.261      28.000    CORE65LPSVT 
HS65_LS_CBI4I6X14           1       8.840      0.012       1.369    CORE65LPSVT 
HS65_LS_CBI4I6X5           97     353.080      0.339      56.320    CORE65LPSVT 
HS65_LS_CNBFX124            1      18.200      0.065       6.538    CORE65LPSVT 
HS65_LS_CNBFX21             2       7.280      0.021       1.428    CORE65LPSVT 
HS65_LS_CNBFX31             1       6.240      0.016       1.051    CORE65LPSVT 
HS65_LS_CNIVX10             3       7.800      0.009       0.501    CORE65LPSVT 
HS65_LS_CNIVX103            6      71.760      0.231      14.575    CORE65LPSVT 
HS65_LS_CNIVX124            3      42.120      0.172       7.220    CORE65LPSVT 
HS65_LS_CNIVX14             8      20.800      0.043       1.660    CORE65LPSVT 
HS65_LS_CNIVX21            75     234.000      0.559      25.878    CORE65LPSVT 
HS65_LS_CNIVX24             1       3.640      0.007       0.428    CORE65LPSVT 
HS65_LS_CNIVX27           194     706.160      2.011      89.231    CORE65LPSVT 
HS65_LS_CNIVX31             2       9.360      0.025       1.578    CORE65LPSVT 
HS65_LS_CNIVX34            27     126.360      0.322      15.886    CORE65LPSVT 
HS65_LS_CNIVX41             2      10.400      0.031       1.501    CORE65LPSVT 
HS65_LS_CNIVX45             3      18.720      0.046       2.073    CORE65LPSVT 
HS65_LS_CNIVX48             3      18.720      0.049       2.605    CORE65LPSVT 
HS65_LS_CNIVX52             2      13.520      0.035       1.696    CORE65LPSVT 
HS65_LS_CNIVX55            11      74.360      0.215       7.903    CORE65LPSVT 
HS65_LS_CNIVX58             6      43.680      0.123       6.356    CORE65LPSVT 
HS65_LS_CNIVX62            28     203.840      0.640      29.767    CORE65LPSVT 
HS65_LS_CNIVX7            306     477.360      0.559      78.368    CORE65LPSVT 
HS65_LS_CNIVX82             9      88.920      0.286      14.021    CORE65LPSVT 
HS65_LS_DFPHQX9           380    3952.000      3.733    2994.632    CORE65LPSVT 
HS65_LS_DFPQX18            73     607.360      0.914     606.503    CORE65LPSVT 
HS65_LS_DFPQX4            251    1957.800      2.076    1894.116    CORE65LPSVT 
HS65_LS_DFPQX9           3557   27744.600     33.234   28126.457    CORE65LPSVT 
HS65_LS_DFPRQNX18           2      21.840      0.026      17.671    CORE65LPSVT 
HS65_LS_DFPRQNX4          177    1840.800      1.559    1378.679    CORE65LPSVT 
HS65_LS_DFPRQNX9          104    1081.600      1.018     820.485    CORE65LPSVT 
HS65_LS_DFPRQX18           82     895.440      1.069     711.147    CORE65LPSVT 
HS65_LS_DFPRQX4          1358   14123.200     11.864   10342.347    CORE65LPSVT 
HS65_LS_DFPRQX9         11937  124144.800    118.118   92892.418    CORE65LPSVT 
HS65_LS_DFPSQX18           11     125.840      0.159      91.415    CORE65LPSVT 
HS65_LS_FA1X18            521    7314.840     12.410    1721.557    CORE65LPSVT 
HS65_LS_FA1X27           1310   27929.200     48.430    5773.453    CORE65LPSVT 
HS65_LS_FA1X35             22     583.440      1.094     115.963    CORE65LPSVT 
HS65_LS_FA1X4             295    2761.200      1.840     417.049    CORE65LPSVT 
HS65_LS_FA1X9             523    5711.160      5.679    1228.617    CORE65LPSVT 
HS65_LS_HA1X18            189    1375.920      3.864     370.293    CORE65LPSVT 
HS65_LS_HA1X27             11     131.560      0.365      28.184    CORE65LPSVT 
HS65_LS_HA1X35              1      13.520      0.044       3.240    CORE65LPSVT 
HS65_LS_HA1X4             324    1684.800      1.658     168.746    CORE65LPSVT 
HS65_LS_HA1X9             214    1335.360      2.022     270.198    CORE65LPSVT 
HS65_LS_IVX106             20     176.800      0.856      36.041    CORE65LPSVT 
HS65_LS_IVX13               2       4.160      0.008       0.485    CORE65LPSVT 
HS65_LS_IVX142             29     346.840      1.626      18.676    CORE65LPSVT 
HS65_LS_IVX18            1448    3011.840      7.804     425.219    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.375    CORE65LPSVT 
HS65_LS_IVX213              2      34.320      0.185       7.877    CORE65LPSVT 
HS65_LS_IVX22              14      43.680      0.110       5.182    CORE65LPSVT 
HS65_LS_IVX27             596    1859.520      5.510     275.539    CORE65LPSVT 
HS65_LS_IVX284              1      22.360      0.125       5.200    CORE65LPSVT 
HS65_LS_IVX31              24      87.360      0.266      12.066    CORE65LPSVT 
HS65_LS_IVX35             421    1532.440      5.275     242.350    CORE65LPSVT 
HS65_LS_IVX40              19      79.040      0.274      15.188    CORE65LPSVT 
HS65_LS_IVX44             374    1555.840      6.017     273.160    CORE65LPSVT 
