============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:31:57 am
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_INTER_4                   20947   101.995 16040.706 10879.567      26920.273         27022.268 
  U_buffer                    14538    65.842 12576.695  5860.625      18437.320         18503.162 
  U_inter                      4979    25.779  1802.519  2927.412       4729.931          4755.710 
    csa_tree_P.._18_10_groupi    51     0.324    28.852    73.238        102.090           102.414 
    csa_tree_P.._18_10_groupi    51     0.323    26.892    69.528         96.420            96.743 
    csa_tree_P.._18_10_groupi    51     0.323    29.289    75.332        104.620           104.944 
    csa_tree_P.._18_10_groupi    51     0.323    27.182    68.729         95.911            96.234 
    csa_tree_P.._18_10_groupi    51     0.323    27.813    71.115         98.929            99.252 
    csa_tree_P.._18_10_groupi    51     0.323    28.095    72.617        100.712           101.035 
    csa_tree_P.._18_10_groupi    51     0.323    29.541    75.067        104.607           104.930 
    csa_tree_P.._18_10_groupi    51     0.323    27.123    69.429         96.552            96.875 
    csa_tree_P.._18_10_groupi    51     0.323    29.081    70.896         99.976           100.299 
    csa_tree_P.._18_10_groupi    51     0.323    28.658    76.654        105.312           105.635 
    csa_tree_P.._18_10_groupi    51     0.314    28.573    60.863         89.436            89.751 
    csa_tree_P.._18_10_groupi    51     0.272    23.879    25.549         49.428            49.700 
    csa_tree_P.._18_10_groupi    51     0.272    24.956    26.755         51.711            51.983 
    csa_tree_P.._18_10_groupi    51     0.272    23.830    25.612         49.442            49.714 
    csa_tree_P.._18_10_groupi    51     0.272    25.922    27.931         53.854            54.125 
    csa_tree_P.._18_10_groupi    51     0.272    25.880    27.939         53.819            54.091 
    csa_tree_P.._18_10_groupi    51     0.272    23.853    25.868         49.721            49.993 
    csa_tree_P.._18_10_groupi    51     0.272    23.131    24.851         47.981            48.253 
    csa_tree_P.._18_10_groupi    51     0.272    25.819    27.611         53.431            53.702 
    csa_tree_P.._18_10_groupi    51     0.272    23.777    25.455         49.232            49.503 
    csa_tree_P.._18_10_groupi    51     0.272    25.415    27.222         52.636            52.908 
    csa_tree_P.._18_10_groupi    51     0.272    23.463    25.241         48.704            48.975 
    csa_tree_P.._18_10_groupi    51     0.271    25.872    27.437         53.309            53.580 
    csa_tree_P.._18_10_groupi    51     0.271    25.069    26.965         52.034            52.306 
    csa_tree_P.._18_10_groupi    51     0.271    24.545    26.272         50.817            51.088 
    csa_tree_P.._18_10_groupi    51     0.271    24.302    25.941         50.243            50.514 
    csa_tree_P.._18_10_groupi    51     0.271    22.876    24.417         47.293            47.564 
    csa_tree_P.._18_10_groupi    51     0.271    25.370    27.084         52.454            52.725 
    csa_tree_P.._18_10_groupi    51     0.271    23.392    24.924         48.316            48.588 
    csa_tree_P.._18_10_groupi    51     0.271    24.464    26.525         50.988            51.260 
    csa_tree_P.._18_10_groupi    51     0.271    26.304    28.309         54.613            54.884 
    csa_tree_P.._18_10_groupi    51     0.271    21.961    23.599         45.560            45.831 
    csa_tree_P.._18_10_groupi    51     0.271    25.014    26.925         51.939            52.210 
    csa_tree_P.._18_10_groupi    51     0.271    25.398    27.388         52.786            53.057 
    csa_tree_P.._18_10_groupi    36     0.255    19.263    61.009         80.272            80.527 
    csa_tree_P.._18_10_groupi    36     0.255    21.879    68.955         90.833            91.088 
    csa_tree_P.._18_10_groupi    36     0.255    21.853    69.330         91.183            91.438 
    csa_tree_P.._18_10_groupi    36     0.255    21.571    68.690         90.261            90.516 
    csa_tree_P.._18_10_groupi    36     0.254    21.074    67.050         88.124            88.378 
    csa_tree_P.._18_10_groupi    36     0.254    21.013    64.964         85.977            86.231 
    csa_tree_P.._18_10_groupi    36     0.203    17.203    19.422         36.625            36.829 
    csa_tree_P.._18_10_groupi    36     0.203    16.325    18.520         34.845            35.048 
    csa_tree_P.._18_10_groupi    36     0.203    17.798    20.032         37.831            38.034 
    csa_tree_P.._18_10_groupi    36     0.203    17.085    19.447         36.532            36.735 
    csa_tree_P.._18_10_groupi    36     0.203    16.932    19.328         36.260            36.463 
    csa_tree_P.._18_10_groupi    36     0.203    18.131    20.380         38.512            38.715 
    csa_tree_P.._18_10_groupi    36     0.203    16.002    18.031         34.033            34.236 
    csa_tree_P.._18_10_groupi    36     0.203    17.835    20.041         37.876            38.079 
    csa_tree_P.._18_10_groupi    36     0.203    17.790    19.904         37.694            37.897 
    csa_tree_P.._18_10_groupi    36     0.203    17.787    19.866         37.653            37.856 
    csa_tree_P.._18_10_groupi    36     0.203    17.812    19.956         37.768            37.970 
    addinc_PUs.._S0_add_18_16    31     0.158     4.901     5.462         10.363            10.521 
    addinc_PUs.._S0_add_18_16    31     0.158     5.652     7.860         13.512            13.670 
    addinc_PUs.._S0_add_18_16    31     0.158     5.817     7.866         13.683            13.841 
    addinc_PUs.._S0_add_18_16    31     0.158     5.516     7.566         13.082            13.240 
    addinc_PUs.._S0_add_18_16    31     0.158     5.279     6.038         11.317            11.475 
    addinc_PUs.._S0_add_18_16    31     0.158     5.557     7.616         13.173            13.331 
    addinc_PUs.._S0_add_18_16    31     0.158     6.123     6.902         13.024            13.182 
    addinc_PUs.._S0_add_18_16    31     0.158     6.025     8.212         14.238            14.396 
    addinc_PUs.._S0_add_18_16    31     0.158     5.581     7.780         13.361            13.519 
    addinc_PUs.._S0_add_18_16    31     0.158     5.331     7.365         12.697            12.854 
    addinc_PUs.._S0_add_18_16    31     0.158     5.545     7.264         12.809            12.967 
    addinc_PUs.._S0_add_18_16    31     0.157     5.747     6.451         12.198            12.355 
    addinc_PUs.._S0_add_18_16    31     0.157     6.058     8.258         14.315            14.473 
    addinc_PUs.._S0_add_18_16    31     0.157     5.313     7.116         12.429            12.586 
    addinc_PUs.._S0_add_18_16    31     0.157     5.440     6.146         11.586            11.743 
    addinc_PUs.._S0_add_18_16    31     0.157     5.693     6.249         11.942            12.100 
    addinc_PUs.._S0_add_18_16    31     0.157     5.728     7.941         13.669            13.826 
    addinc_PUs.._S0_add_18_16    31     0.157     5.636     7.589         13.225            13.382 
    addinc_PUs.._S0_add_18_16    31     0.157     5.426     7.411         12.838            12.995 
    addinc_PUs.._S0_add_18_16    31     0.156     4.845     6.517         11.363            11.519 
    csa_tree_P.._18_16_groupi    28     0.139     7.441     8.850         16.291            16.431 
    csa_tree_P.._18_16_groupi    28     0.139     7.914     9.333         17.247            17.387 
    csa_tree_P.._18_16_groupi    28     0.139     8.850    10.526         19.375            19.515 
    csa_tree_P.._18_16_groupi    28     0.139     8.321     9.940         18.261            18.401 
    csa_tree_P.._18_16_groupi    28     0.139     8.429    10.169         18.597            18.737 
    csa_tree_P.._18_16_groupi    28     0.139     9.370    11.154         20.524            20.663 
    csa_tree_P.._18_16_groupi    28     0.139     8.116     9.593         17.709            17.848 
    csa_tree_P.._18_16_groupi    28     0.139     8.698    10.367         19.065            19.205 
    csa_tree_P.._18_16_groupi    28     0.139     7.876     9.401         17.276            17.416 
    csa_tree_P.._18_16_groupi    28     0.139     8.535    10.126         18.661            18.800 
