============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  03:23:18 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate        Instances     Area        Library    
HS65_LS_NOR2AX6          225     702.000    CORE65LPSVT 
HS65_LS_NOR2X13          385    1401.400    CORE65LPSVT 
HS65_LS_NOR2X19          299    1554.800    CORE65LPSVT 
HS65_LS_NOR2X25          152     948.480    CORE65LPSVT 
HS65_LS_NOR2X3             2       4.160    CORE65LPSVT 
HS65_LS_NOR2X38           70     618.800    CORE65LPSVT 
HS65_LS_NOR2X5             1       2.080    CORE65LPSVT 
HS65_LS_NOR2X6          3070    6385.600    CORE65LPSVT 
HS65_LS_OA12X18           86     357.760    CORE65LPSVT 
HS65_LS_OA12X27            3      21.840    CORE65LPSVT 
HS65_LS_OA12X9           128     465.920    CORE65LPSVT 
HS65_LS_OAI112X11          6      37.440    CORE65LPSVT 
HS65_LS_OAI112X5          61     222.040    CORE65LPSVT 
HS65_LS_OAI12X12         207    1076.400    CORE65LPSVT 
HS65_LS_OAI12X18         263    1777.880    CORE65LPSVT 
HS65_LS_OAI12X24         126    1113.840    CORE65LPSVT 
HS65_LS_OAI12X3            3       7.800    CORE65LPSVT 
HS65_LS_OAI12X37          82    1066.000    CORE65LPSVT 
HS65_LS_OAI12X6          267     833.040    CORE65LPSVT 
HS65_LS_OAI13X10           2      12.480    CORE65LPSVT 
HS65_LS_OAI21X12          16      83.200    CORE65LPSVT 
HS65_LS_OAI21X24           1       8.840    CORE65LPSVT 
HS65_LS_OAI21X3          327     850.200    CORE65LPSVT 
HS65_LS_OAI21X6            2       6.240    CORE65LPSVT 
HS65_LS_OAI22X6           65     236.600    CORE65LPSVT 
HS65_LS_OAI32X5          130     540.800    CORE65LPSVT 
HS65_LS_OR2X18            43     156.520    CORE65LPSVT 
HS65_LS_OR2X27            77     440.440    CORE65LPSVT 
HS65_LS_OR2X9           1188    3706.560    CORE65LPSVT 
HS65_LS_PAO2X18          164     938.080    CORE65LPSVT 
HS65_LS_PAO2X27            1       9.880    CORE65LPSVT 
HS65_LS_PAO2X9           136     636.480    CORE65LPSVT 
HS65_LS_PAOI2X11          21     163.800    CORE65LPSVT 
HS65_LS_PAOI2X17          35     382.200    CORE65LPSVT 
HS65_LS_PAOI2X6          111     461.760    CORE65LPSVT 
HS65_LS_XNOR2X18         690    4664.400    CORE65LPSVT 
HS65_LS_XNOR2X27           5      52.000    CORE65LPSVT 
HS65_LS_XNOR2X35           3      34.320    CORE65LPSVT 
HS65_LS_XNOR2X9          774    4024.800    CORE65LPSVT 
HS65_LS_XNOR3X18           1      11.960    CORE65LPSVT 
HS65_LS_XNOR3X27           1      17.160    CORE65LPSVT 
HS65_LS_XOR2X18          367    2480.920    CORE65LPSVT 
HS65_LS_XOR2X27           98    1019.200    CORE65LPSVT 
HS65_LS_XOR2X35           32     366.080    CORE65LPSVT 
HS65_LS_XOR2X4           131     613.080    CORE65LPSVT 
HS65_LS_XOR2X9           621    3229.200    CORE65LPSVT 
HS65_LS_XOR3X18            2      22.880    CORE65LPSVT 
HS65_LS_XOR3X9             1       9.360    CORE65LPSVT 
--------------------------------------------------------
total                  46464  258081.720                


                                           
     Type      Instances    Area    Area % 
-------------------------------------------
sequential          2630  27612.000   10.7 
inverter            7631  17855.240    6.9 
buffer               899   4847.440    1.9 
logic              35304 207767.040   80.5 
physical_cells         0      0.000    0.0 
-------------------------------------------
total              46464 258081.720  100.0 

