============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  03:23:18 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                               Module                   Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------
INTER_4                                                                       46464     258082    101275       359357 
  gen_filter[36].U_S0               filter_4_bit_width10_36                     665       3590      1314         4904 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_2_470       59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_2_471      61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_2_469      44        360        88          448 
  gen_filter[35].U_S0               filter_4_bit_width10_35                     665       3586      1314         4900 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_1_465       59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_1_466      61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_1_464      44        355        88          443 
  gen_filter[37].U_S0               filter_4_bit_width10_37                     665       3576      1314         4890 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_3_475       59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_3_476      61        608       118          726 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_3_474      44        360        88          448 
  gen_filter[47].U_S0               filter_4_bit_width10_47                     665       3575      1314         4889 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_13_525      59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_13_526     61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_13_524     44        360        88          448 
  gen_filter[46].U_S0               filter_4_bit_width10_46                     665       3575      1314         4889 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_12_520      59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_12_521     61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_12_519     44        360        88          448 
  gen_filter[45].U_S0               filter_4_bit_width10_45                     665       3575      1314         4889 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_11_515      59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_11_516     61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_11_514     44        360        88          448 
  gen_filter[44].U_S0               filter_4_bit_width10_44                     665       3575      1314         4889 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_10_510      59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_10_511     61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_10_509     44        360        88          448 
  gen_filter[43].U_S0               filter_4_bit_width10_43                     665       3575      1314         4889 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_9_505       59        613       114          727 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_9_506      61        607       118          725 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_9_504      44        360        88          448 
  gen_filter[42].U_S0               filter_4_bit_width10_42                     665       3575      1314         4889 
