============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:35:54 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                        Instance                                          Module                   Cells  Cell Area  Net Area   Total Area 
    csa_tree_U_S10_6_add_64_12_groupi                    csa_tree_U_S10_6_add_64_12_group_283_177    142        880       271         1151 
    csa_tree_U_S12_2_add_91_9_groupi                     csa_tree_U_S12_2_add_91_9_group_299_180     135        766       235         1001 
    csa_tree_U_S9_4_add_64_8_groupi                      csa_tree_U_S9_4_add_64_8_group_269_174      125        738       217          956 
    csa_tree_fac2_groupi                                 csa_tree_fac2_group_253_190                 128        738       212          950 
    csa_tree_fac1_groupi                                 csa_tree_fac1_group_255_189                 133        725       225          950 
    csa_tree_U_S4_4_add_64_8_groupi                      csa_tree_U_S4_4_add_64_8_group_301_163      109        722       190          911 
    csa_tree_U_S3_5_add_64_8_groupi                      csa_tree_U_S3_5_add_64_8_group_323_159      124        703       207          910 
    csa_tree_U_S11_6_add_64_12_groupi                    csa_tree_U_S11_6_add_64_12_group_261_179    120        657       226          883 
    csa_tree_U_S14_5_add_64_8_groupi                     csa_tree_U_S14_5_add_64_8_group_267_185     110        590       195          785 
    csa_tree_U_S1_4_add_64_8_groupi                      csa_tree_U_S1_4_add_64_8_group_329_155       83        565       151          716 
    csa_tree_U_S15_4_add_64_8_groupi                     csa_tree_U_S15_4_add_64_8_group_327_187      73        576       139          715 
    csa_tree_U_S4_3_add_91_9_groupi                      csa_tree_U_S4_3_add_91_9_group_301_162      102        514       189          703 
    csa_tree_U_S8_5_add_64_8_groupi                      csa_tree_U_S8_5_add_64_8_group_273_171       99        484       181          665 
    csa_tree_U_S14_6_add_64_8_groupi                     csa_tree_U_S14_6_add_64_8_group_311_186      91        492       167          659 
    csa_tree_U_S9_3_add_91_9_groupi                      csa_tree_U_S9_3_add_91_9_group_279_173       82        511       140          651 
    csa_tree_U_S4_7_add_64_12_groupi                     csa_tree_U_S4_7_add_64_12_group_295_164      75        516       133          650 
    csa_tree_U_S7_3_add_91_9_groupi                      csa_tree_U_S7_3_add_91_9_group_281_169       77        493       130          624 
    U_S13_7_add_64_8                                     add_signed_416_799                           99        440       168          608 
    U_S12_7_add_64_8                                     add_signed_416_800                           96        439       162          602 
    U_S6_7_add_64_8                                      add_signed_376_1406                          99        424       168          592 
    csa_tree_U_S4_2_add_91_9_groupi                      csa_tree_U_S4_2_add_91_9_group_303_161       60        476       111          587 
    csa_tree_U_S5_7_add_64_12_groupi                     csa_tree_U_S5_7_add_64_12_group_293_166      70        453       129          583 
    U_S3_7_add_64_8                                      add_signed_416_801                           99        415       166          581 
    U_S7_7_add_64_8                                      add_signed_376_816                           94        418       157          575 
    csa_tree_U_S1_5_add_64_8_groupi                      csa_tree_U_S1_5_add_64_8_group_325_156       87        408       160          568 
    U_S10_7_add_64_8                                     add_signed_376                               96        403       161          564 
    csa_tree_U_S15_5_add_64_8_groupi                     csa_tree_U_S15_5_add_64_8_group_321_188      73        416       137          553 
    U_S2_7_add_64_8                                      add_signed_428_784_1396                     101        374       167          541 
    U_S9_7_add_64_8                                      add_signed_376_815                           94        372       157          529 
    csa_tree_U_S12_3_add_91_9_groupi                     csa_tree_U_S12_3_add_91_9_group_259_181      65        404       118          521 
    U_S14_7_add_64_8                                     add_signed_428_784                           98        359       162          521 
    csa_tree_U_S2_6_add_64_8_groupi                      csa_tree_U_S2_6_add_64_8_group_313_158       51        419        85          504 
    U_S11_7_add_64_8                                     add_signed_376_813                           89        331       148          479 
    csa_tree_U_S2_3_add_91_9_groupi                      csa_tree_U_S2_3_add_91_9_group_319_157       63        368       111          479 
    csa_tree_U_S8_7_add_64_12_groupi                     csa_tree_U_S8_7_add_64_12_group_271_172      44        394        79          472 
    csa_tree_U_S14_3_add_91_9_groupi                     csa_tree_U_S14_3_add_91_9_group_317_184      60        365       104          469 
    csa_tree_U_S6_3_add_91_9_groupi                      csa_tree_U_S6_3_add_91_9_group_287_167       48        332        81          412 
    csa_tree_U_S10_3_add_91_9_groupi                     csa_tree_U_S10_3_add_91_9_group_265_176      51        326        85          411 
    csa_tree_U_S5_2_add_91_9_groupi                      csa_tree_U_S5_2_add_91_9_group_291_165       45        334        75          410 
    csa_tree_U_S11_3_add_91_9_groupi                     csa_tree_U_S11_3_add_91_9_group_263_178      43        326        70          396 
    U_S1_6_add_64_8                                      add_signed_447_773                           60        275        84          359 
    U_S15_6_add_64_8                                     add_signed_447_772                           57        260        79          339 
  GEN[2].U_MULTIi_SHRP                                   filter_sharp_bit_width10_2                 6534      35596     13423        49019 
    csa_tree_U_S7_6_add_64_12_groupi                     csa_tree_U_S7_6_add_64_12_group_277_280     180       1086       335         1421 
    csa_tree_U_S6_6_add_64_12_groupi                     csa_tree_U_S6_6_add_64_12_group_285_278     153       1021       292         1313 
    csa_tree_U_S9_6_add_64_12_groupi                     csa_tree_U_S9_6_add_64_12_group_275_285     169        968       316         1284 
    csa_tree_U_S10_6_add_64_12_groupi                    csa_tree_U_S10_6_add_64_12_group_283_287    155        935       292         1228 
    csa_tree_U_S12_6_add_64_12_groupi                    csa_tree_U_S12_6_add_64_12_group_257_292    163        936       291         1227 
    csa_tree_U_S13_6_add_64_8_groupi                     csa_tree_U_S13_6_add_64_8_group_307_293     159        915       293         1208 
    csa_tree_U_S3_6_add_64_8_groupi                      csa_tree_U_S3_6_add_64_8_group_309_270      141        869       269         1138 
    csa_tree_fac2_groupi                                 csa_tree_fac2_group_253_300                 130        775       220          995 
    csa_tree_U_S9_4_add_64_8_groupi                      csa_tree_U_S9_4_add_64_8_group_269_284      121        756       208          964 
    csa_tree_U_S4_4_add_64_8_groupi                      csa_tree_U_S4_4_add_64_8_group_301_273      111        762       198          960 
    csa_tree_fac1_groupi                                 csa_tree_fac1_group_255_299                 122        752       205          958 
    csa_tree_U_S3_5_add_64_8_groupi                      csa_tree_U_S3_5_add_64_8_group_323_269      128        730       213          943 
    csa_tree_U_S12_2_add_91_9_groupi                     csa_tree_U_S12_2_add_91_9_group_299_290     136        687       233          920 
    csa_tree_U_S11_6_add_64_12_groupi                    csa_tree_U_S11_6_add_64_12_group_261_289    120        620       226          847 
    csa_tree_U_S4_2_add_91_9_groupi                      csa_tree_U_S4_2_add_91_9_group_303_271      117        607       224          831 
    csa_tree_U_S4_3_add_91_9_groupi                      csa_tree_U_S4_3_add_91_9_group_301_272      119        530       214          745 
    csa_tree_U_S14_5_add_64_8_groupi                     csa_tree_U_S14_5_add_64_8_group_267_295      97        550       179          728 
    csa_tree_U_S15_4_add_64_8_groupi                     csa_tree_U_S15_4_add_64_8_group_327_297      75        545       141          686 
    csa_tree_U_S1_4_add_64_8_groupi                      csa_tree_U_S1_4_add_64_8_group_329_265       70        539       135          674 
    csa_tree_U_S4_7_add_64_12_groupi                     csa_tree_U_S4_7_add_64_12_group_295_274      67        529       120          649 
    csa_tree_U_S8_5_add_64_8_groupi                      csa_tree_U_S8_5_add_64_8_group_273_281       99        466       180          646 
    csa_tree_U_S7_3_add_91_9_groupi                      csa_tree_U_S7_3_add_91_9_group_281_279       91        492       149          641 
    U_S12_7_add_64_8                                     add_signed_419_803                           94        464       158          622 
    csa_tree_U_S14_6_add_64_8_groupi                     csa_tree_U_S14_6_add_64_8_group_311_296      91        456       165          621 
    csa_tree_U_S9_3_add_91_9_groupi                      csa_tree_U_S9_3_add_91_9_group_279_283       71        480       120          600 
    U_S13_7_add_64_8                                     add_signed_419_802                           98        430       164          595 
    csa_tree_U_S5_7_add_64_12_groupi                     csa_tree_U_S5_7_add_64_12_group_293_276      72        445       133          578 
    csa_tree_U_S1_5_add_64_8_groupi                      csa_tree_U_S1_5_add_64_8_group_325_266       88        412       160          572 
    U_S9_7_add_64_8                                      add_signed_379_818                           97        410       161          571 
    U_S3_7_add_64_8                                      add_signed_419_804                           97        402       164          566 
    U_S7_7_add_64_8                                      add_signed_379_819                           96        406       160          566 
    U_S6_7_add_64_8                                      add_signed_379_1402                          93        385       156          541 
    U_S10_7_add_64_8                                     add_signed_379                               93        366       155          521 
    csa_tree_U_S15_5_add_64_8_groupi                     csa_tree_U_S15_5_add_64_8_group_321_298      75        382       139          521 
    U_S11_7_add_64_8                                     add_signed_379_816                           92        363       153          516 
    csa_tree_U_S12_3_add_91_9_groupi                     csa_tree_U_S12_3_add_91_9_group_259_291      63        398       116          514 
    U_S2_7_add_64_8                                      add_signed_431_787_1394                      90        362       150          512 
    U_S14_7_add_64_8                                     add_signed_431_787                           90        356       150          506 
    csa_tree_U_S2_3_add_91_9_groupi                      csa_tree_U_S2_3_add_91_9_group_319_267       61        383       106          490 
    csa_tree_U_S14_3_add_91_9_groupi                     csa_tree_U_S14_3_add_91_9_group_317_294      61        376       106          483 
    csa_tree_U_S2_6_add_64_8_groupi                      csa_tree_U_S2_6_add_64_8_group_313_268       45        404        76          480 
    csa_tree_U_S8_7_add_64_12_groupi                     csa_tree_U_S8_7_add_64_12_group_271_282      48        365        86          451 
    csa_tree_U_S11_3_add_91_9_groupi                     csa_tree_U_S11_3_add_91_9_group_263_288      38        361        62          424 
    csa_tree_U_S10_3_add_91_9_groupi                     csa_tree_U_S10_3_add_91_9_group_265_286      49        327        82          408 
    csa_tree_U_S6_3_add_91_9_groupi                      csa_tree_U_S6_3_add_91_9_group_287_277       45        329        74          403 
    csa_tree_U_S5_2_add_91_9_groupi                      csa_tree_U_S5_2_add_91_9_group_291_275       38        338        62          400 
    U_S1_6_add_64_8                                      add_signed_450_776                           56        262        79          341 
    U_S15_6_add_64_8                                     add_signed_450_775                           55        265        76          341 
  GEN[6].U_MULTIi_SHRP                                   filter_sharp_bit_width10_6                 6493      35422     13381        48803 
    csa_tree_U_S7_6_add_64_12_groupi                     csa_tree_U_S7_6_add_64_12_group_277_390     171       1100       322         1422 
    csa_tree_U_S9_6_add_64_12_groupi                     csa_tree_U_S9_6_add_64_12_group_275_395     167       1009       312         1321 
    csa_tree_U_S6_6_add_64_12_groupi                     csa_tree_U_S6_6_add_64_12_group_285_388     138        992       265         1257 
    csa_tree_U_S10_6_add_64_12_groupi                    csa_tree_U_S10_6_add_64_12_group_283_397    147        924       281         1205 
    csa_tree_U_S12_6_add_64_12_groupi                    csa_tree_U_S12_6_add_64_12_group_257_402    169        889       300         1189 
    csa_tree_U_S13_6_add_64_8_groupi                     csa_tree_U_S13_6_add_64_8_group_307_403     153        892       290         1182 
    csa_tree_U_S3_6_add_64_8_groupi                      csa_tree_U_S3_6_add_64_8_group_309_380      151        874       285         1159 
    csa_tree_U_S4_4_add_64_8_groupi                      csa_tree_U_S4_4_add_64_8_group_301_383      126        864       219         1083 
