============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:20:49 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate        Instances     Area        Library    
--------------------------------------------------------
HS65_LSS_XNOR2X12        520    3515.200    CORE65LPSVT 
HS65_LSS_XNOR2X6        1300    5408.000    CORE65LPSVT 
HS65_LSS_XOR2X6          390    1622.400    CORE65LPSVT 
HS65_LS_AND2X18          130     473.200    CORE65LPSVT 
HS65_LS_AND2X27          260    1487.200    CORE65LPSVT 
HS65_LS_AND2X35          130     811.200    CORE65LPSVT 
HS65_LS_AND2X9           390    1216.800    CORE65LPSVT 
HS65_LS_AOI13X15         130    1149.200    CORE65LPSVT 
HS65_LS_BFX18             64     199.680    CORE65LPSVT 
HS65_LS_BFX27            260     946.400    CORE65LPSVT 
HS65_LS_BFX53            128     798.720    CORE65LPSVT 
HS65_LS_BFX9             130     270.400    CORE65LPSVT 
HS65_LS_CB4I6X9          130     540.800    CORE65LPSVT 
HS65_LS_CBI4I1X16        130    1149.200    CORE65LPSVT 
HS65_LS_CBI4I1X21        260    3109.600    CORE65LPSVT 
HS65_LS_CBI4I1X5         130     473.200    CORE65LPSVT 
HS65_LS_CNIVX21          153     477.360    CORE65LPSVT 
HS65_LS_CNIVX27          130     473.200    CORE65LPSVT 
HS65_LS_CNIVX34          130     608.400    CORE65LPSVT 
HS65_LS_DFPRQX18          64     698.880    CORE65LPSVT 
HS65_LS_DFPRQX4         1560   16224.000    CORE65LPSVT 
HS65_LS_DFPRQX9          596    6198.400    CORE65LPSVT 
HS65_LS_FA1X18           520    7300.800    CORE65LPSVT 
HS65_LS_FA1X27          1040   22172.800    CORE65LPSVT 
HS65_LS_FA1X4            390    3650.400    CORE65LPSVT 
HS65_LS_FA1X9            130    1419.600    CORE65LPSVT 
HS65_LS_HA1X18           260    1892.800    CORE65LPSVT 
HS65_LS_HA1X27           260    3109.600    CORE65LPSVT 
HS65_LS_HA1X4            325    1690.000    CORE65LPSVT 
HS65_LS_HA1X9            390    2433.600    CORE65LPSVT 
HS65_LS_IVX18           2212    4600.960    CORE65LPSVT 
HS65_LS_IVX2               1       1.560    CORE65LPSVT 
HS65_LS_IVX22            130     405.600    CORE65LPSVT 
HS65_LS_IVX27            755    2355.600    CORE65LPSVT 
HS65_LS_IVX31            130     473.200    CORE65LPSVT 
HS65_LS_IVX35            260     946.400    CORE65LPSVT 
HS65_LS_IVX44            130     540.800    CORE65LPSVT 
HS65_LS_IVX62            130     743.600    CORE65LPSVT 
HS65_LS_IVX9            1300    2028.000    CORE65LPSVT 
HS65_LS_MUXI21X10        130    1081.600    CORE65LPSVT 
HS65_LS_MUXI21X5         130     608.400    CORE65LPSVT 
HS65_LS_NAND2AX14        910    3785.600    CORE65LPSVT 
