============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 26 2020  08:37:29 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                 Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------
  gen_filter[0].U_S0                filter_8_bit_width10                   1440       7827      2862        10689 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36       117        816       218         1034 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38        96        699       178          877 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457       109        671       202          872 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455      106        661       198          859 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40        82        626       160          786 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42         88        607       170          777 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50         88        522       158          679 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48        89        510       162          671 
    U_S17_add_41_16                 add_unsigned_224_1160                    90        463       146          609 
    U_S11_add_41_16                 add_unsigned_237                         78        291       129          419 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_1008                 59        196        96          292 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41                      59        196        96          292 
    U_5_U_S0_add_18_10              add_signed_276                           48        202        77          279 
    U_2_U_S0_add_18_10              add_signed_276_943                       47        200        75          275 
    U_S15_add_41_16                 add_unsigned_227                         23        208        29          237 
    U_4_U_S1_add_18_10              add_signed_271                           40        144        61          205 
    U_3_U_S1_add_18_10              add_signed_271_1217                      40        144        61          205 
    U_S14_add_41_16                 add_unsigned_229_1144                    19        140        24          164 
    U_4_U_S0_add_18_10              add_signed_276_942_1234                  18        109        22          131 
    U_3_U_S0_add_18_10              add_signed_276_942                       18        107        22          129 
    U_S21_add_41_16                 add_unsigned_252_891                     11         49        11           60 
    U_S1_add_41_16                  add_unsigned_252                         11         49        11           60 
  gen_filter[1].U_S0                filter_8_bit_width10_1                 1437       7836      2852        10688 
