============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  01:27:49 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                Cells  Cell Area  Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------
INTER_4                                                                   7214      39792     15593        55385 
  gen_filter[8].U_S0                filter_4_bit_width10_8                 754       3902      1487         5389 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_8      75        636       139          775 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_8     75        632       139          771 
    csa_tree_U_S20_add_18_10_groupi csa_tree_U_S20_add_18_10_group_27_8     87        342       147          489 
    addinc_U_S22_add_18_16          add_signed_carry_28                     77        357       122          479 
    addinc_U_S2_add_18_16           add_signed_carry_28_657                 77        357       122          479 
    csa_tree_U_S0_add_18_10_groupi  csa_tree_U_S0_add_18_10_group_29_8      85        328       148          476 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_8     44        329        88          417 
    U_S11_add_41_16                 add_unsigned_136_490                    57        202        91          293 
    U_2_U_S0_add_18_10              add_signed_158_498                      31        134        49          183 
    U_1_U_S0_add_18_10              add_signed_158_499                      31        134        49          183 
    U_2_U_S1_add_18_10              add_signed_157_707                      18        154        21          175 
    U_1_U_S1_add_18_10              add_signed_157_706                      18        154        21          175 
  gen_filter[0].U_S0                filter_4_bit_width10                   751       3897      1478         5375 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21       75        633       139          772 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23        75        632       139          771 
    csa_tree_U_S20_add_18_10_groupi csa_tree_U_S20_add_18_10_group_27       87        342       147          489 
    addinc_U_S22_add_18_16          add_signed_carry_28_642                 77        357       122          479 
    addinc_U_S2_add_18_16           add_signed_carry_28_641                 77        357       122          479 
    csa_tree_U_S0_add_18_10_groupi  csa_tree_U_S0_add_18_10_group_29        85        328       148          476 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25       44        329        88          417 
    U_S11_add_41_16                 add_unsigned_136                        57        202        91          293 
    U_2_U_S0_add_18_10              add_signed_158_514                      31        134        49          183 
    U_1_U_S0_add_18_10              add_signed_158                          31        134        49          183 
    U_2_U_S1_add_18_10              add_signed_157                          18        154        21          175 
    U_1_U_S1_add_18_10              add_signed_157_722                      18        154        21          175 
  gen_filter[7].U_S0                filter_4_bit_width10_7                 747       3894      1471         5365 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_7      75        636       139          775 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_7     75        632       139          771 
    csa_tree_U_S20_add_18_10_groupi csa_tree_U_S20_add_18_10_group_27_7     87        342       147          489 
