============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 24 2020  03:31:13 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_BFX27             474    1725.360      5.997     347.193    CORE65LPSVT 
HS65_LS_BFX284             10     301.600      1.628      29.473    CORE65LPSVT 
HS65_LS_BFX31               2      10.400      0.031       1.398    CORE65LPSVT 
HS65_LS_BFX35              67     348.400      1.166      60.835    CORE65LPSVT 
HS65_LS_BFX40               2      11.440      0.040       2.332    CORE65LPSVT 
HS65_LS_BFX44              70     400.400      1.560      80.902    CORE65LPSVT 
HS65_LS_BFX53             148     923.520      3.990     213.146    CORE65LPSVT 
HS65_LS_BFX62              32     249.600      1.029      47.611    CORE65LPSVT 
HS65_LS_BFX71              27     224.640      1.000      49.878    CORE65LPSVT 
HS65_LS_BFX9              152     316.160      0.530     101.277    CORE65LPSVT 
HS65_LS_CB4I1X18            8      41.600      0.096       6.921    CORE65LPSVT 
HS65_LS_CB4I1X9           115     478.400      0.539      61.402    CORE65LPSVT 
HS65_LS_CB4I6X18          101     525.200      1.048     288.143    CORE65LPSVT 
HS65_LS_CB4I6X27            7      58.240      0.111       9.389    CORE65LPSVT 
HS65_LS_CB4I6X9           597    2483.520      2.837     600.586    CORE65LPSVT 
HS65_LS_CBI4I1X11          46     287.040      0.402      27.995    CORE65LPSVT 
HS65_LS_CBI4I1X16          18     159.120      0.263      17.507    CORE65LPSVT 
HS65_LS_CBI4I1X21           1      11.960      0.028       2.120    CORE65LPSVT 
HS65_LS_CBI4I1X5          604    2198.560      2.756     432.619    CORE65LPSVT 
HS65_LS_CBI4I6X5           89     323.960      0.238      37.259    CORE65LPSVT 
HS65_LS_CBI4I6X9            2      12.480      0.013       1.275    CORE65LPSVT 
HS65_LS_CNBFX62             1       9.880      0.035       1.747    CORE65LPSVT 
HS65_LS_CNIVX103            3      35.880      0.132       3.470    CORE65LPSVT 
HS65_LS_CNIVX124            1      14.040      0.057       1.659    CORE65LPSVT 
HS65_LS_CNIVX14             1       2.600      0.003       0.135    CORE65LPSVT 
HS65_LS_CNIVX21            17      53.040      0.112       7.600    CORE65LPSVT 
HS65_LS_CNIVX27            20      72.800      0.193       8.217    CORE65LPSVT 
HS65_LS_CNIVX31             2       9.360      0.025       0.672    CORE65LPSVT 
HS65_LS_CNIVX34            12      56.160      0.155       6.326    CORE65LPSVT 
HS65_LS_CNIVX41             4      20.800      0.059       2.860    CORE65LPSVT 
HS65_LS_CNIVX55             1       6.760      0.019       0.623    CORE65LPSVT 
HS65_LS_CNIVX62             8      58.240      0.205       6.234    CORE65LPSVT 
HS65_LS_CNIVX7            146     227.760      0.290      14.369    CORE65LPSVT 
HS65_LS_CNIVX82             3      29.640      0.109       2.593    CORE65LPSVT 
HS65_LS_DFPRQX4          3061   31834.400     26.756   18834.082    CORE65LPSVT 
HS65_LS_FA1X18           1456   20442.240     35.464    8659.913    CORE65LPSVT 
HS65_LS_FA1X27            772   16459.040     29.072    6947.046    CORE65LPSVT 
HS65_LS_FA1X4           45272  423745.920    282.582   96368.429    CORE65LPSVT 
HS65_LS_FA1X9            6828   74561.760     74.800   24691.432    CORE65LPSVT 
