============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  01:11:35 pm
  Module:                 FME_PIPE_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_FA1X4              34     318.240      0.213      30.745    CORE65LPSVT 
HS65_LS_FA1X9              23     251.160      0.245      49.891    CORE65LPSVT 
HS65_LS_HA1X18            337    2453.360      6.992     859.668    CORE65LPSVT 
HS65_LS_HA1X35              9     121.680      0.385      23.653    CORE65LPSVT 
HS65_LS_HA1X4             197    1024.400      1.014     150.861    CORE65LPSVT 
HS65_LS_HA1X9             274    1709.760      2.622     468.125    CORE65LPSVT 
HS65_LS_IVX106             33     291.720      1.398      62.612    CORE65LPSVT 
HS65_LS_IVX13               2       4.160      0.008       0.570    CORE65LPSVT 
HS65_LS_IVX142             26     310.960      1.528     100.843    CORE65LPSVT 
HS65_LS_IVX18            3797    7897.760     20.495    1361.607    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.019    CORE65LPSVT 
HS65_LS_IVX213              9     154.440      0.815      50.808    CORE65LPSVT 
HS65_LS_IVX27             746    2327.520      6.931     408.956    CORE65LPSVT 
HS65_LS_IVX284              4      89.440      0.493      13.423    CORE65LPSVT 
HS65_LS_IVX31              37     134.680      0.409      24.933    CORE65LPSVT 
HS65_LS_IVX35             307    1117.480      3.816     213.453    CORE65LPSVT 
HS65_LS_IVX40              58     241.280      0.835      48.324    CORE65LPSVT 
HS65_LS_IVX44             136     565.760      2.219     109.309    CORE65LPSVT 
HS65_LS_IVX49              10      52.000      0.185      10.902    CORE65LPSVT 
HS65_LS_IVX53             113     587.600      2.266     129.823    CORE65LPSVT 
HS65_LS_IVX62              18     102.960      0.424      18.190    CORE65LPSVT 
HS65_LS_IVX7              110     171.600      0.217      14.889    CORE65LPSVT 
HS65_LS_IVX71              55     343.200      1.501      54.509    CORE65LPSVT 
HS65_LS_IVX9             4473    6977.880     11.751    1152.861    CORE65LPSVT 
HS65_LS_MUX21I1X12        100     676.000      1.357     166.617    CORE65LPSVT 
HS65_LS_MUX21I1X18         92     956.800      1.994     252.861    CORE65LPSVT 
HS65_LS_MUX21I1X24         42     524.160      1.228     107.568    CORE65LPSVT 
HS65_LS_MUX21I1X6        3027   12592.320     19.732    3189.547    CORE65LPSVT 
HS65_LS_MUX21X4          3348   13927.680     15.514    4450.353    CORE65LPSVT 
HS65_LS_MUXI21X2         5256   19131.840     13.537    2781.416    CORE65LPSVT 
HS65_LS_MUXI21X5           44     205.920      0.247      59.729    CORE65LPSVT 
HS65_LS_NAND2AX14         242    1006.720      1.638     192.671    CORE65LPSVT 
HS65_LS_NAND2AX21         451    2579.720      5.563     498.977    CORE65LPSVT 
HS65_LS_NAND2AX29         264    1784.640      4.919     418.856    CORE65LPSVT 
HS65_LS_NAND2AX7         1204    3756.480      5.538     689.594    CORE65LPSVT 
HS65_LS_NAND2X11           93     338.520      0.407      42.307    CORE65LPSVT 
HS65_LS_NAND2X14         1364    4964.960      8.716     892.462    CORE65LPSVT 
HS65_LS_NAND2X2             1       2.080      0.001       0.026    CORE65LPSVT 
HS65_LS_NAND2X21         1055    5486.000     10.935     972.633    CORE65LPSVT 
HS65_LS_NAND2X29          718    4480.320     11.719     855.734    CORE65LPSVT 
HS65_LS_NAND2X4             1       2.080      0.001       0.021    CORE65LPSVT 
HS65_LS_NAND2X43          132    1166.880      4.013     330.264    CORE65LPSVT 
HS65_LS_NAND2X57          273    3265.080      9.566     724.314    CORE65LPSVT 
HS65_LS_NAND2X7          5611   11670.880     14.404    2321.131    CORE65LPSVT 
HS65_LS_NAND3AX13         131     749.320      2.090     149.264    CORE65LPSVT 
HS65_LS_NAND3AX19          79     616.200      0.543      99.204    CORE65LPSVT 
HS65_LS_NAND3AX6           72     262.080      0.137      21.787    CORE65LPSVT 
HS65_LS_NAND3X13          353    1835.600      1.679     210.275    CORE65LPSVT 
HS65_LS_NAND3X19           64     432.640      0.148      27.648    CORE65LPSVT 
HS65_LS_NAND3X25            3      26.520      0.009       1.297    CORE65LPSVT 
HS65_LS_NAND3X38           88    1144.000      3.250     251.387    CORE65LPSVT 
HS65_LS_NAND3X5             2       5.200      0.000       0.000    CORE65LPSVT 
HS65_LS_NAND3X9             9      46.800      0.011       3.318    CORE65LPSVT 
HS65_LS_NAND4ABX3          36     131.040      0.025       0.455    CORE65LPSVT 
HS65_LS_NAND4ABX6           1       4.160      0.002       0.000    CORE65LPSVT 
HS65_LS_NAND4X18            6      40.560      0.059       0.612    CORE65LPSVT 
HS65_LS_NAND4X27           22     183.040      0.316       1.645    CORE65LPSVT 
