============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:31 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
INTER_2                       15386   164.608 10737.075  6396.083      17133.158         17297.766 
    addinc_U_1_U_S0_add_18_16    75     0.835    13.224    15.979         29.202            30.038 
    addinc_U_0_U_S0_add_18_16    75     0.828    16.353    19.896         36.248            37.077 
    csa_tree_U.._18_10_groupi    54     0.713    41.041    31.479         72.520            73.232 
    csa_tree_U.._18_10_groupi    54     0.712    41.450    32.361         73.811            74.522 
    addinc_U_1_U_S1_add_18_16    61     0.589    11.956    11.758         23.714            24.303 
    addinc_U_0_U_S1_add_18_16    61     0.587    15.543    15.929         31.471            32.058 
    U_S10                         3     0.017     0.578     0.459          1.037             1.054 
      addinc_add_41_28            3     0.017     0.578     0.459          1.037             1.054 
  gen_filter[25].U_S0           427     4.623   139.270   137.986        277.256           281.879 
    addinc_U_1_U_S0_add_18_16    75     0.829    12.115    14.546         26.661            27.491 
    addinc_U_0_U_S0_add_18_16    75     0.827    14.060    17.767         31.827            32.654 
    csa_tree_U.._18_10_groupi    54     0.714    42.200    31.942         74.142            74.856 
    csa_tree_U.._18_10_groupi    54     0.714    40.270    30.746         71.016            71.729 
    addinc_U_1_U_S1_add_18_16    61     0.590    11.760    11.436         23.197            23.786 
    addinc_U_0_U_S1_add_18_16    61     0.586    13.149    13.354         26.503            27.089 
    U_S10                         3     0.017     0.672     0.544          1.215             1.233 
      addinc_add_41_28            3     0.017     0.672     0.544          1.215             1.233 
  gen_filter[4].U_S0            427     4.621   142.635   140.339        282.974           287.595 
    addinc_U_1_U_S0_add_18_16    75     0.832    14.553    17.681         32.233            33.065 
    addinc_U_0_U_S0_add_18_16    75     0.824    11.537    14.253         25.791            26.615 
    csa_tree_U.._18_10_groupi    54     0.713    41.854    31.779         73.632            74.345 
    csa_tree_U.._18_10_groupi    54     0.712    43.740    33.497         77.236            77.949 
    addinc_U_0_U_S1_add_18_16    61     0.592    11.372    11.127         22.499            23.091 
    addinc_U_1_U_S1_add_18_16    61     0.586    13.718    13.603         27.322            27.908 
    U_S10                         3     0.017     0.669     0.521          1.190             1.207 
      addinc_add_41_28            3     0.017     0.669     0.521          1.190             1.207 
  gen_filter[9].U_S0            427     4.620   170.262   169.092        339.354           343.975 
    addinc_U_1_U_S0_add_18_16    75     0.828    17.731    20.983         38.714            39.543 
    addinc_U_0_U_S0_add_18_16    75     0.826    14.378    17.427         31.805            32.631 
    csa_tree_U.._18_10_groupi    54     0.717    50.513    39.270         89.783            90.500 
    csa_tree_U.._18_10_groupi    54     0.715    50.008    38.602         88.610            89.326 
    addinc_U_1_U_S1_add_18_16    61     0.586    17.045    17.266         34.310            34.896 
    addinc_U_0_U_S1_add_18_16    61     0.586    13.331    13.203         26.534            27.119 
    U_S10                         3     0.017     0.894     0.710          1.604             1.621 
      addinc_add_41_28            3     0.017     0.894     0.710          1.604             1.621 
  gen_filter[26].U_S0           427     4.619   135.593   132.751        268.344           272.964 
    addinc_U_0_U_S0_add_18_16    75     0.829    12.115    14.546         26.661            27.490 
    addinc_U_1_U_S0_add_18_16    75     0.829    13.873    16.834         30.707            31.536 
    csa_tree_U.._18_10_groupi    54     0.715    39.334    29.875         69.209            69.924 
    csa_tree_U.._18_10_groupi    54     0.712    39.750    30.160         69.911            70.623 
    addinc_U_0_U_S1_add_18_16    61     0.590    11.761    11.436         23.197            23.787 
    addinc_U_1_U_S1_add_18_16    61     0.584    13.424    13.249         26.673            27.257 
    U_S10                         3     0.017     0.487     0.386          0.873             0.891 
      addinc_add_41_28            3     0.017     0.487     0.386          0.873             0.891 
  gen_filter[10].U_S0           427     4.617   166.680   165.907        332.586           337.203 
    addinc_U_1_U_S0_add_18_16    75     0.829    14.438    17.599         32.037            32.866 
    addinc_U_0_U_S0_add_18_16    75     0.828    17.731    20.983         38.714            39.542 
    csa_tree_U.._18_10_groupi    54     0.715    48.664    37.808         86.471            87.187 
    csa_tree_U.._18_10_groupi    54     0.714    49.101    38.285         87.386            88.100 
    addinc_U_1_U_S1_add_18_16    61     0.587    12.678    12.625         25.303            25.890 
    addinc_U_0_U_S1_add_18_16    61     0.586    17.045    17.266         34.311            34.897 
    U_S10                         3     0.017     0.899     0.721          1.620             1.637 
      addinc_add_41_28            3     0.017     0.899     0.721          1.620             1.637 
  gen_filter[6].U_S0            427     4.615   149.562   150.108        299.670           304.285 
    addinc_U_0_U_S0_add_18_16    75     0.832    14.721    18.680         33.401            34.233 
    addinc_U_1_U_S0_add_18_16    75     0.827    14.111    17.070         31.181            32.008 
    csa_tree_U.._18_10_groupi    54     0.718    43.422    33.546         76.968            77.686 
    csa_tree_U.._18_10_groupi    54     0.714    42.694    33.242         75.936            76.650 
    addinc_U_1_U_S1_add_18_16    61     0.583    14.212    14.174         28.386            28.969 
    addinc_U_0_U_S1_add_18_16    61     0.579    13.853    13.748         27.601            28.180 
    U_S10                         3     0.018     0.947     0.775          1.722             1.739 
      addinc_add_41_28            3     0.018     0.947     0.775          1.722             1.739 
  gen_filter[5].U_S0            427     4.614   149.303   149.425        298.728           303.342 
    addinc_U_1_U_S0_add_18_16    75     0.832    14.721    18.680         33.401            34.233 
    addinc_U_0_U_S0_add_18_16    75     0.832    14.553    17.681         32.234            33.065 
    csa_tree_U.._18_10_groupi    54     0.715    46.607    36.158         82.765            83.479 
    csa_tree_U.._18_10_groupi    54     0.710    39.228    29.564         68.792            69.502 
    addinc_U_0_U_S1_add_18_16    61     0.586    13.719    13.603         27.322            27.908 
    addinc_U_1_U_S1_add_18_16    61     0.579    13.853    13.748         27.600            28.179 
    U_S10                         3     0.017     0.966     0.779          1.745             1.762 
      addinc_add_41_28            3     0.017     0.966     0.779          1.745             1.762 
  gen_filter[7].U_S0            427     4.612   154.134   152.221        306.355           310.967 
    addinc_U_1_U_S0_add_18_16    75     0.829    14.711    17.959         32.671            33.500 
    addinc_U_0_U_S0_add_18_16    75     0.827    14.111    17.070         31.181            32.008 
    csa_tree_U.._18_10_groupi    54     0.716    45.812    35.141         80.953            81.669 
    csa_tree_U.._18_10_groupi    54     0.714    45.612    35.436         81.048            81.762 
    addinc_U_0_U_S1_add_18_16    61     0.583    14.213    14.174         28.386            28.970 
    addinc_U_1_U_S1_add_18_16    61     0.581    13.491    13.393         26.884            27.465 
    U_S10                         3     0.018     0.735     0.590          1.325             1.342 
      addinc_add_41_28            3     0.018     0.735     0.590          1.325             1.342 
  gen_filter[32].U_S0           428     4.612   163.011   161.761        324.772           329.383 
    addinc_U_0_U_S0_add_18_16    75     0.834    15.195    18.200         33.396            34.230 
    addinc_U_1_U_S0_add_18_16    75     0.831    16.392    20.454         36.846            37.677 
    csa_tree_U.._18_10_groupi    54     0.714    46.874    35.306         82.180            82.894 
    csa_tree_U.._18_10_groupi    54     0.713    47.942    36.436         84.378            85.092 
    addinc_U_0_U_S1_add_18_16    61     0.587    14.563    14.528         29.090            29.677 
    addinc_U_1_U_S1_add_18_16    61     0.580    15.455    15.799         31.254            31.834 
    U_S10                         3     0.017     0.815     0.675          1.490             1.507 
      addinc_add_41_28            3     0.017     0.815     0.675          1.490             1.507 
  gen_filter[19].U_S0           427     4.611   158.744   158.190        316.935           321.546 
    addinc_U_0_U_S0_add_18_16    75     0.832    16.720    20.208         36.927            37.759 
    addinc_U_1_U_S0_add_18_16    75     0.824    14.659    17.858         32.517            33.342 
    csa_tree_U.._18_10_groupi    54     0.716    48.241    37.273         85.513            86.229 
