============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 19 2019  11:38:18 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_CNIVX62            12      87.360      0.271      14.950    CORE65LPSVT 
HS65_LS_CNIVX7            242     377.520      0.429      44.301    CORE65LPSVT 
HS65_LS_DFPHQX9           360    3744.000      3.538    2479.642    CORE65LPSVT 
HS65_LS_DFPRQNX9           34     353.600      0.333     227.549    CORE65LPSVT 
HS65_LS_DFPRQX4           264    2745.600      2.314    1565.408    CORE65LPSVT 
HS65_LS_DFPRQX9         12686  131934.400    125.561   82843.320    CORE65LPSVT 
HS65_LS_FA1X18            811   11386.440     19.470    2951.734    CORE65LPSVT 
HS65_LS_FA1X27            687   14646.840     25.626    3571.597    CORE65LPSVT 
HS65_LS_FA1X35             43    1140.360      2.138     248.075    CORE65LPSVT 
HS65_LS_FA1X4             172    1609.920      1.084     171.498    CORE65LPSVT 
HS65_LS_FA1X9             401    4378.920      4.423     723.475    CORE65LPSVT 
HS65_LS_HA1X18            343    2497.040      7.214     754.306    CORE65LPSVT 
HS65_LS_HA1X27            121    1447.160      4.134     388.312    CORE65LPSVT 
HS65_LS_HA1X35            203    2744.560      9.591     889.179    CORE65LPSVT 
HS65_LS_HA1X4             164     852.800      0.851     130.221    CORE65LPSVT 
HS65_LS_HA1X9             345    2152.800      3.325     441.474    CORE65LPSVT 
HS65_LS_IVX106             87     769.080      3.736      72.133    CORE65LPSVT 
HS65_LS_IVX13              39      81.120      0.158      10.494    CORE65LPSVT 
HS65_LS_IVX142             34     406.640      1.917      57.238    CORE65LPSVT 
HS65_LS_IVX18            3776    7854.080     20.564     894.689    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.019    CORE65LPSVT 
HS65_LS_IVX213              6     102.960      0.514      27.039    CORE65LPSVT 
HS65_LS_IVX22              25      78.000      0.188       5.891    CORE65LPSVT 
HS65_LS_IVX27             787    2455.440      7.313     403.379    CORE65LPSVT 
HS65_LS_IVX284              3      67.080      0.355      18.109    CORE65LPSVT 
HS65_LS_IVX31              40     145.600      0.447      18.229    CORE65LPSVT 
HS65_LS_IVX35             354    1288.560      4.420     186.614    CORE65LPSVT 
HS65_LS_IVX44             117     486.720      1.883      82.392    CORE65LPSVT 
HS65_LS_IVX49               2      10.400      0.037       2.065    CORE65LPSVT 
HS65_LS_IVX53             144     748.800      2.890     120.494    CORE65LPSVT 
HS65_LS_IVX62              21     120.120      0.496      30.343    CORE65LPSVT 
HS65_LS_IVX7               24      37.440      0.046       3.502    CORE65LPSVT 
HS65_LS_IVX71             176    1098.240      4.807     188.868    CORE65LPSVT 
HS65_LS_IVX9             3968    6190.080     10.155     852.522    CORE65LPSVT 
HS65_LS_MUX21I1X12         46     310.960      0.617      57.279    CORE65LPSVT 
HS65_LS_MUX21I1X18        104    1081.600      2.262     216.233    CORE65LPSVT 
HS65_LS_MUX21I1X24         59     736.320      1.790     163.603    CORE65LPSVT 
HS65_LS_MUX21I1X6          59     245.440      0.384      38.890    CORE65LPSVT 
HS65_LS_MUX21X4          3744   15575.040     17.770    3907.917    CORE65LPSVT 
HS65_LS_MUXI21X10          34     282.880      0.424      41.445    CORE65LPSVT 
HS65_LS_MUXI21X15           2      20.800      0.037       2.969    CORE65LPSVT 
HS65_LS_MUXI21X2         7740   28173.600     19.897    3181.984    CORE65LPSVT 
HS65_LS_NAND2AX14         289    1202.240      2.788     215.614    CORE65LPSVT 
HS65_LS_NAND2AX21         248    1418.560      3.192     229.988    CORE65LPSVT 
HS65_LS_NAND2AX29         202    1365.520      3.830     293.092    CORE65LPSVT 
HS65_LS_NAND2AX7         2594    8093.280     14.563    1475.177    CORE65LPSVT 
HS65_LS_NAND2X11           86     313.040      0.340      33.608    CORE65LPSVT 
HS65_LS_NAND2X14         1423    5179.720      9.122     629.512    CORE65LPSVT 
HS65_LS_NAND2X2             1       2.080      0.001       0.020    CORE65LPSVT 
HS65_LS_NAND2X21          714    3712.800      7.430     502.507    CORE65LPSVT 
HS65_LS_NAND2X29          485    3026.400      8.017     413.507    CORE65LPSVT 
HS65_LS_NAND2X4             1       2.080      0.001       0.039    CORE65LPSVT 
HS65_LS_NAND2X43          319    2819.960      8.457     417.494    CORE65LPSVT 
HS65_LS_NAND2X5             3       6.240      0.011       0.753    CORE65LPSVT 
HS65_LS_NAND2X57          200    2392.000      7.638     389.101    CORE65LPSVT 
HS65_LS_NAND2X7          5916   12305.280     17.217    2002.182    CORE65LPSVT 
HS65_LS_NAND3AX13           5      28.600      0.065       2.614    CORE65LPSVT 
HS65_LS_NAND3AX19          59     460.200      1.266      65.365    CORE65LPSVT 
HS65_LS_NAND3AX25           4      39.520      0.113       7.378    CORE65LPSVT 
HS65_LS_NAND3AX6           87     316.680      0.361      12.872    CORE65LPSVT 
HS65_LS_NAND3X13          105     546.000      0.754      54.506    CORE65LPSVT 
HS65_LS_NAND3X19          138     932.880      1.490      57.407    CORE65LPSVT 
HS65_LS_NAND3X25           85     751.400      1.807     106.978    CORE65LPSVT 
HS65_LS_NAND3X38           55     715.000      1.709     104.380    CORE65LPSVT 
HS65_LS_NAND3X5             2       5.200      0.000       0.000    CORE65LPSVT 
HS65_LS_NAND3X50           19     326.040      0.824      51.930    CORE65LPSVT 
HS65_LS_NAND4ABX3          36     131.040      0.025       0.401    CORE65LPSVT 
