============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  03:30:59 pm
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
HS65_LS_FA1X18            491    6893.640     11.425    1501.953    CORE65LPSVT  
HS65_LS_FA1X27           1162   24773.840     42.644    5185.032    CORE65LPSVT  
HS65_LS_FA1X4             139    1301.040      0.868     127.709    CORE65LPSVT  
HS65_LS_FA1X9             246    2686.320      2.726     355.277    CORE65LPSVT  
HS65_LS_HA1X18            169    1230.320      3.498     243.377    CORE65LPSVT  
HS65_LS_HA1X27             16     191.360      0.555      33.248    CORE65LPSVT  
HS65_LS_HA1X35              5      67.600      0.240      12.327    CORE65LPSVT  
HS65_LS_HA1X4             638    3317.600      3.285     405.278    CORE65LPSVT  
HS65_LS_HA1X9             304    1896.960      2.842     326.278    CORE65LPSVT  
HS65_LS_IVX106             12     106.080      0.513      19.628    CORE65LPSVT  
HS65_LS_IVX142             17     203.320      0.999      58.152    CORE65LPSVT  
HS65_LS_IVX18            2135    4440.800     11.546     531.001    CORE65LPSVT  
HS65_LS_IVX213              7     120.120      0.640      23.548    CORE65LPSVT  
HS65_LS_IVX27             969    3023.280      8.945     433.407    CORE65LPSVT  
HS65_LS_IVX31              11      40.040      0.122       5.593    CORE65LPSVT  
HS65_LS_IVX35            1064    3872.960     13.254     584.716    CORE65LPSVT  
HS65_LS_IVX44             826    3436.160     13.254     626.754    CORE65LPSVT  
HS65_LS_IVX53             404    2100.800      8.111     328.903    CORE65LPSVT  
HS65_LS_IVX62              21     120.120      0.497      16.456    CORE65LPSVT  
HS65_LS_IVX71             306    1909.440      8.407     376.710    CORE65LPSVT  
HS65_LS_IVX9            11032   17209.920     28.294    1663.720    CORE65LPSVT  
HS65_LS_MUX21I1X12         88     594.880      1.113      90.137    CORE65LPSVT  
HS65_LS_MUX21I1X18        258    2683.200      5.471     363.338    CORE65LPSVT  
HS65_LS_MUX21I1X24         68     848.640      1.938     147.030    CORE65LPSVT  
HS65_LS_MUX21I1X6         355    1476.800      1.922     243.717    CORE65LPSVT  
HS65_LS_MUX21X18           49     305.760      0.796      62.512    CORE65LPSVT  
HS65_LS_MUX21X4           164     682.240      0.764      95.731    CORE65LPSVT  
HS65_LS_MUX21X9            51     238.680      0.373      36.065    CORE65LPSVT  
