============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  09:08:01 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal      Net        Dynamic          Total       
                                                                    (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW)  Power(uW)    Power(uW)       Power(uW)     
-----------------------------------------------------------------------------------------------------
      addinc_U_S0_add_18_16      80     0.919     68.572    100.411        168.983           169.902 
      addinc_U_S1_add_18_16      84     0.689     58.685     72.282        130.968           131.657 
      U_S2_add_18_10             79     0.613     65.094     74.311        139.405           140.018 
    PUs[24].U_F2_U_1            246     2.288    187.235    248.401        435.636           437.923 
      addinc_U_S0_add_18_16      78     0.964     71.440    102.146        173.586           174.550 
      addinc_U_S1_add_18_16      79     0.653     52.566     65.038        117.604           118.257 
      U_S2_add_18_10             77     0.591     57.602     67.370        124.972           125.563 
    PUs[18].U_F2_U_1            249     2.287    189.996    250.078        440.074           442.361 
      addinc_U_S0_add_18_16      79     0.911     65.712     91.761        157.473           158.383 
      addinc_U_S1_add_18_16      80     0.687     57.055     70.928        127.982           128.669 
      U_S2_add_18_10             78     0.615     61.729     73.102        134.831           135.446 
    PUs[8].U_F2_U_1             249     2.282    190.797    252.640        443.437           445.719 
      addinc_U_S0_add_18_16      79     0.920     68.970     98.475        167.446           168.366 
      addinc_U_S1_add_18_16      82     0.688     53.026     66.702        119.728           120.416 
      U_S2_add_18_10             77     0.602     63.719     73.980        137.699           138.301 
    PUs[31].U_F2_U_1            250     2.282    183.216    241.665        424.881           427.163 
      addinc_U_S0_add_18_16      81     0.946     66.395     94.432        160.827           161.773 
      addinc_U_S1_add_18_16      80     0.656     53.939     67.579        121.518           122.174 
      U_S2_add_18_10             77     0.601     57.509     66.390        123.898           124.499 
    PUs[0].U_F2_U_1             250     2.280    193.574    255.422        448.996           451.276 
      addinc_U_S0_add_18_16      79     0.910     70.341    102.124        172.465           173.376 
      addinc_U_S1_add_18_16      83     0.700     57.912     70.919        128.831           129.531 
      U_S2_add_18_10             77     0.601     60.434     69.453        129.888           130.488 
    PUs[22].U_F2_U_1            250     2.275    196.751    264.664        461.415           463.691 
      addinc_U_S0_add_18_16      80     0.943     73.353    106.722        180.075           181.018 
      addinc_U_S1_add_18_16      82     0.672     57.929     74.979        132.908           133.580 
      U_S2_add_18_10             76     0.583     59.100     67.472        126.571           127.154 
    PUs[23].U_F2_U_1            243     2.275    184.995    243.157        428.152           430.427 
      addinc_U_S0_add_18_16      77     0.958     67.717     96.115        163.831           164.789 
      addinc_U_S1_add_18_16      80     0.667     53.754     66.655        120.409           121.076 
      U_S2_add_18_10             75     0.578     58.581     67.509        126.090           126.668 
    PUs[9].U_F2_U_1             250     2.264    184.515    246.488        431.003           433.267 
      addinc_U_S0_add_18_16      80     0.947     66.228     94.866        161.094           162.040 
      addinc_U_S1_add_18_16      83     0.669     54.755     68.811        123.566           124.235 
      U_S2_add_18_10             76     0.583     58.785     69.831        128.616           129.199 
    PUs[2].U_F2_U_1             246     2.261    193.456    257.069        450.525           452.786 
      addinc_U_S0_add_18_16      78     0.911     69.490     99.631        169.120           170.031 
      addinc_U_S1_add_18_16      78     0.647     53.518     68.048        121.566           122.213 
      U_S2_add_18_10             78     0.609     63.698     74.274        137.972           138.581 
    PUs[7].U_F2_U_1             248     2.259    177.883    234.578        412.461           414.721 
      addinc_U_S0_add_18_16      80     0.929     65.758     94.443        160.201           161.131 
