============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 27 2019  03:04:58 am
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library     
HS65_LS_CBI4I1X3            1        3.640      0.001       0.473    CORE65LPSVT  
HS65_LS_CBI4I1X5           77      280.280      0.129      42.902    CORE65LPSVT  
HS65_LS_CBI4I6X14          43      380.120      0.513      91.272    CORE65LPSVT  
HS65_LS_CBI4I6X5            1        3.640      0.003       0.510    CORE65LPSVT  
HS65_LS_CNBFX21             8       29.120      0.084      15.826    CORE65LPSVT  
HS65_LS_CNIVX10             2        5.200      0.005       0.564    CORE65LPSVT  
HS65_LS_CNIVX14            25       65.000      0.102       9.843    CORE65LPSVT  
HS65_LS_CNIVX17             7       21.840      0.035       4.593    CORE65LPSVT  
HS65_LS_CNIVX21           171      533.520      1.193      96.521    CORE65LPSVT  
HS65_LS_CNIVX27           436     1587.040      4.573     302.359    CORE65LPSVT  
HS65_LS_CNIVX34            14       65.520      0.159      10.901    CORE65LPSVT  
HS65_LS_CNIVX38             1        5.200      0.012       0.734    CORE65LPSVT  
HS65_LS_CNIVX41             5       26.000      0.069       4.696    CORE65LPSVT  
HS65_LS_CNIVX48             8       49.920      0.133       7.664    CORE65LPSVT  
HS65_LS_CNIVX52             1        6.760      0.018       0.961    CORE65LPSVT  
HS65_LS_CNIVX55             4       27.040      0.078       4.704    CORE65LPSVT  
HS65_LS_CNIVX58             4       29.120      0.084       5.094    CORE65LPSVT  
HS65_LS_CNIVX62             5       36.400      0.117       6.985    CORE65LPSVT  
HS65_LS_CNIVX7           1041     1623.960      1.861     256.454    CORE65LPSVT  
HS65_LS_CNIVX82             3       29.640      0.093       4.842    CORE65LPSVT  
HS65_LS_CNXOR2X38          92     1004.640      2.594     627.940    CLOCK65LPSVT 
HS65_LS_DFPHQX9           720     7488.000      7.086    5646.060    CORE65LPSVT  
HS65_LS_DFPQNX4             1        8.320      0.008       7.485    CORE65LPSVT  
HS65_LS_DFPQX18            54      449.280      0.677     455.862    CORE65LPSVT  
HS65_LS_DFPQX27            65      608.400      1.049     543.656    CORE65LPSVT  
HS65_LS_DFPQX4            299     2332.200      2.474    2232.661    CORE65LPSVT  
HS65_LS_DFPQX9           7376    57532.800     68.901   57970.816    CORE65LPSVT  
HS65_LS_DFPRQNX4           27      280.800      0.238     198.091    CORE65LPSVT  
HS65_LS_DFPRQNX9           37      384.800      0.362     281.298    CORE65LPSVT  
HS65_LS_DFPRQX18            2       21.840      0.027      15.453    CORE65LPSVT  
HS65_LS_DFPRQX4          4517    46976.800     39.544   32772.072    CORE65LPSVT  
HS65_LS_DFPRQX9         44887   466824.800    444.030  334509.810    CORE65LPSVT  
HS65_LS_FA1X18           1332    18701.280     32.318    5945.151    CORE65LPSVT  
HS65_LS_FA1X27           3826    81570.320    143.199   23260.750    CORE65LPSVT  
HS65_LS_FA1X35              1       26.520      0.049       8.726    CORE65LPSVT  
HS65_LS_FA1X4             888     8311.680      5.675    1057.426    CORE65LPSVT  
HS65_LS_FA1X9            1565    17089.800     17.156    3451.002    CORE65LPSVT  
HS65_LS_HA1X18            296     2154.880      6.080     845.969    CORE65LPSVT  
HS65_LS_HA1X27              4       47.840      0.138      26.483    CORE65LPSVT  
HS65_LS_HA1X4            1030     5356.000      5.316    1162.284    CORE65LPSVT  
HS65_LS_HA1X9             491     3063.840      4.654     764.505    CORE65LPSVT  
HS65_LS_IVX106             66      583.440      2.824     142.985    CORE65LPSVT  
HS65_LS_IVX13              15       31.200      0.061       6.126    CORE65LPSVT  
HS65_LS_IVX142             99     1184.040      5.739     339.441    CORE65LPSVT  
HS65_LS_IVX18            3899     8109.920     20.962    1590.629    CORE65LPSVT  
HS65_LS_IVX213              4       68.640      0.363      25.269    CORE65LPSVT  
HS65_LS_IVX27            1481     4620.720     13.646     981.801    CORE65LPSVT  
HS65_LS_IVX31              72      262.080      0.794      52.806    CORE65LPSVT  
HS65_LS_IVX35             983     3578.120     12.281     788.913    CORE65LPSVT  
HS65_LS_IVX40               3       12.480      0.043       2.419    CORE65LPSVT  
HS65_LS_IVX44             634     2637.440     10.188     674.992    CORE65LPSVT  
HS65_LS_IVX49               9       46.800      0.166       5.161    CORE65LPSVT  
HS65_LS_IVX53             453     2355.600      9.093     511.690    CORE65LPSVT  
HS65_LS_IVX62              83      474.760      1.963     104.227    CORE65LPSVT  
HS65_LS_IVX7               75      117.000      0.146      19.612    CORE65LPSVT  
HS65_LS_IVX71             524     3269.760     14.367     898.730    CORE65LPSVT  
HS65_LS_IVX9            14181    22122.360     36.144    3524.978    CORE65LPSVT  
HS65_LS_MUX21I1X12       1259     8510.840     15.737    2333.042    CORE65LPSVT  
HS65_LS_MUX21I1X18        372     3868.800      7.757    1021.715    CORE65LPSVT  
HS65_LS_MUX21I1X24         79      985.920      2.295     230.947    CORE65LPSVT  
HS65_LS_MUX21I1X6         822     3419.520      5.157     807.111    CORE65LPSVT  
HS65_LS_MUX21X18           84      524.160      1.502     170.820    CORE65LPSVT  
HS65_LS_MUX21X4           285     1185.600      1.317     217.598    CORE65LPSVT  
HS65_LS_MUX21X9            38      177.840      0.305      43.075    CORE65LPSVT  
HS65_LS_MUXI21X10          32      266.240      0.389      59.911    CORE65LPSVT  
HS65_LS_MUXI21X15          32      332.800      0.605      61.708    CORE65LPSVT  
HS65_LS_MUXI21X5            4       18.720      0.024       2.608    CORE65LPSVT  
HS65_LS_NAND2AX14         939     3906.240      9.552    1061.696    CORE65LPSVT  
HS65_LS_NAND2AX21         454     2596.880      5.714     649.517    CORE65LPSVT  
HS65_LS_NAND2AX29         217     1466.920      3.420     453.074    CORE65LPSVT  
HS65_LS_NAND2AX4            1        3.120      0.002       0.058    CORE65LPSVT  
HS65_LS_NAND2AX7         3450    10764.000     15.295    2232.488    CORE65LPSVT  
HS65_LS_NAND2X11           77      280.280      0.247      39.768    CORE65LPSVT  
HS65_LS_NAND2X14         2686     9777.040     17.165    1666.266    CORE65LPSVT  
HS65_LS_NAND2X2             2        4.160      0.002       0.039    CORE65LPSVT  
HS65_LS_NAND2X21          882     4586.400     11.156     802.522    CORE65LPSVT  
HS65_LS_NAND2X29          985     6146.400     21.015    1404.819    CORE65LPSVT  
