============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 24 2019  03:39:52 am
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_CBI4I6X9           10      62.400      0.075       9.153    CORE65LPSVT 
HS65_LS_CNBFX31             1       6.240      0.016       1.430    CORE65LPSVT 
HS65_LS_CNBFX82             1      12.480      0.046       2.826    CORE65LPSVT 
HS65_LS_CNIVX10             2       5.200      0.008       0.669    CORE65LPSVT 
HS65_LS_CNIVX103            2      23.920      0.088       3.390    CORE65LPSVT 
HS65_LS_CNIVX124            1      14.040      0.054       1.659    CORE65LPSVT 
HS65_LS_CNIVX14            13      33.800      0.057       3.027    CORE65LPSVT 
HS65_LS_CNIVX17            15      46.800      0.081       4.209    CORE65LPSVT 
HS65_LS_CNIVX21           123     383.760      0.868      50.673    CORE65LPSVT 
HS65_LS_CNIVX27           265     964.600      2.607     145.600    CORE65LPSVT 
HS65_LS_CNIVX31             2       9.360      0.021       0.938    CORE65LPSVT 
HS65_LS_CNIVX34            15      70.200      0.181       7.770    CORE65LPSVT 
HS65_LS_CNIVX41            17      88.400      0.263      12.432    CORE65LPSVT 
HS65_LS_CNIVX45             2      12.480      0.031       2.067    CORE65LPSVT 
HS65_LS_CNIVX48             1       6.240      0.020       0.800    CORE65LPSVT 
HS65_LS_CNIVX52             3      20.280      0.067       2.474    CORE65LPSVT 
HS65_LS_CNIVX55            18     121.680      0.350      29.160    CORE65LPSVT 
HS65_LS_CNIVX58             5      36.400      0.110       5.411    CORE65LPSVT 
HS65_LS_CNIVX62             5      36.400      0.119       5.428    CORE65LPSVT 
HS65_LS_CNIVX7            293     457.080      0.502      42.713    CORE65LPSVT 
HS65_LS_CNIVX82             3      29.640      0.088       2.867    CORE65LPSVT 
HS65_LS_DFPHQX9           400    4160.000      3.930    3173.515    CORE65LPSVT 
HS65_LS_DFPQNX4            22     183.040      0.185     161.716    CORE65LPSVT 
HS65_LS_DFPQX18           131    1089.920      1.627    1055.254    CORE65LPSVT 
HS65_LS_DFPQX27            33     308.880      0.532     279.507    CORE65LPSVT 
HS65_LS_DFPQX35            10      98.800      0.199      97.924    CORE65LPSVT 
HS65_LS_DFPQX4            123     959.400      1.017     957.365    CORE65LPSVT 
HS65_LS_DFPQX9           3692   28797.600     34.490   29550.118    CORE65LPSVT 
HS65_LS_DFPRQNX4          763    7935.200      6.724    5835.341    CORE65LPSVT 
HS65_LS_DFPRQNX9          145    1508.000      1.420    1140.328    CORE65LPSVT 
HS65_LS_DFPRQX4          1101   11450.400      9.646    7768.097    CORE65LPSVT 
HS65_LS_DFPRQX9         12327  128200.800    121.991   95963.429    CORE65LPSVT 
HS65_LS_FA1X18            646    9069.840     15.797    2571.388    CORE65LPSVT 
HS65_LS_FA1X27           1608   34282.560     60.441    7587.368    CORE65LPSVT 
HS65_LS_FA1X35              2      53.040      0.104      11.007    CORE65LPSVT 
HS65_LS_FA1X4             358    3350.880      2.281     326.864    CORE65LPSVT 
HS65_LS_FA1X9             506    5525.520      5.541     882.285    CORE65LPSVT 
HS65_LS_HA1X18             92     669.760      1.907     236.786    CORE65LPSVT 
HS65_LS_HA1X27              4      47.840      0.132      14.643    CORE65LPSVT 
HS65_LS_HA1X4             598    3109.600      3.092     663.378    CORE65LPSVT 
HS65_LS_HA1X9             459    2864.160      4.370     695.653    CORE65LPSVT 
HS65_LS_IVX106             25     221.000      1.063      60.561    CORE65LPSVT 
HS65_LS_IVX13              12      24.960      0.048       1.849    CORE65LPSVT 
HS65_LS_IVX142              8      95.680      0.458      25.211    CORE65LPSVT 
HS65_LS_IVX18            1952    4060.160     10.521     587.217    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.391    CORE65LPSVT 
HS65_LS_IVX213             10     171.600      0.878      46.627    CORE65LPSVT 
HS65_LS_IVX22               1       3.120      0.008       0.397    CORE65LPSVT 
HS65_LS_IVX27             879    2742.480      8.121     433.178    CORE65LPSVT 
HS65_LS_IVX284              3      67.080      0.374      17.189    CORE65LPSVT 
HS65_LS_IVX31              32     116.480      0.354      14.666    CORE65LPSVT 
HS65_LS_IVX35             462    1681.680      5.772     274.135    CORE65LPSVT 
HS65_LS_IVX40               9      37.440      0.131       5.785    CORE65LPSVT 
HS65_LS_IVX44             247    1027.520      3.961     201.046    CORE65LPSVT 
HS65_LS_IVX49              14      72.800      0.259      10.464    CORE65LPSVT 
HS65_LS_IVX53             189     982.800      3.794     160.553    CORE65LPSVT 
HS65_LS_IVX62              31     177.320      0.733      31.108    CORE65LPSVT 
HS65_LS_IVX7               35      54.600      0.070       4.970    CORE65LPSVT 
HS65_LS_IVX71             102     636.480      2.795     119.098    CORE65LPSVT 
HS65_LS_IVX9             5334    8321.040     13.612    1256.173    CORE65LPSVT 
HS65_LS_MUX21I1X12         59     398.840      0.762      56.821    CORE65LPSVT 
HS65_LS_MUX21I1X18         71     738.400      1.454     128.112    CORE65LPSVT 
HS65_LS_MUX21I1X24         17     212.160      0.475      44.773    CORE65LPSVT 
HS65_LS_MUX21I1X6          47     195.520      0.300      14.105    CORE65LPSVT 
HS65_LS_MUX21X18           14      87.360      0.246      20.436    CORE65LPSVT 
HS65_LS_MUX21X27            2      18.720      0.048       3.482    CORE65LPSVT 
HS65_LS_MUX21X35            4      41.600      0.130      10.967    CORE65LPSVT 
HS65_LS_MUX21X9            38     177.840      0.305      30.009    CORE65LPSVT 
HS65_LS_MUXI21X10          17     141.440      0.205      23.195    CORE65LPSVT 
HS65_LS_MUXI21X15          26     270.400      0.507      44.756    CORE65LPSVT 
HS65_LS_MUXI21X5            8      37.440      0.045       5.494    CORE65LPSVT 
HS65_LS_NAND2AX14         713    2966.080      5.885     621.972    CORE65LPSVT 
HS65_LS_NAND2AX21         409    2339.480      5.976     580.078    CORE65LPSVT 
HS65_LS_NAND2AX29         108     730.080      2.042     153.749    CORE65LPSVT 
HS65_LS_NAND2AX4            1       3.120      0.002       0.073    CORE65LPSVT 
HS65_LS_NAND2AX7         1293    4034.160      6.041     756.651    CORE65LPSVT 
HS65_LS_NAND2X11           87     316.680      0.591      27.271    CORE65LPSVT 
HS65_LS_NAND2X14         1339    4873.960      7.975     721.327    CORE65LPSVT 
HS65_LS_NAND2X2             3       6.240      0.002       0.061    CORE65LPSVT 
HS65_LS_NAND2X21          438    2277.600      4.629     312.937    CORE65LPSVT 
HS65_LS_NAND2X29          180    1123.200      3.107     155.637    CORE65LPSVT 
HS65_LS_NAND2X43          124    1096.160      3.781     174.860    CORE65LPSVT 
HS65_LS_NAND2X5           106     220.480      0.214      38.474    CORE65LPSVT 
HS65_LS_NAND2X57           31     370.760      1.362      56.629    CORE65LPSVT 
HS65_LS_NAND2X7          7458   15512.640     16.093    2576.186    CORE65LPSVT 
HS65_LS_NAND3AX13          20     114.400      0.254      23.007    CORE65LPSVT 
HS65_LS_NAND3AX25           1       9.880      0.006       0.941    CORE65LPSVT 
HS65_LS_NAND3AX6            9      32.760      0.020       3.694    CORE65LPSVT 
HS65_LS_NAND3X13           73     379.600      0.528      43.250    CORE65LPSVT 
HS65_LS_NAND3X19            4      27.040      0.050       3.648    CORE65LPSVT 
HS65_LS_NAND3X5            76     197.600      0.406      16.195    CORE65LPSVT 
HS65_LS_NAND3X50            1      17.160      0.014       1.100    CORE65LPSVT 
