============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 01 2020  06:21:24 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate         Instances     Area        Library    
HS65_LS_MUX21X27           10      93.600    CORE65LPSVT 
HS65_LS_MUXI21X15          17     176.800    CORE65LPSVT 
HS65_LS_NAND2AX14         517    2150.720    CORE65LPSVT 
HS65_LS_NAND2AX21         205    1172.600    CORE65LPSVT 
HS65_LS_NAND2AX29         155    1047.800    CORE65LPSVT 
HS65_LS_NAND2AX7          491    1531.920    CORE65LPSVT 
HS65_LS_NAND2X11           97     353.080    CORE65LPSVT 
HS65_LS_NAND2X14         1054    3836.560    CORE65LPSVT 
HS65_LS_NAND2X21          461    2397.200    CORE65LPSVT 
HS65_LS_NAND2X29          318    1984.320    CORE65LPSVT 
HS65_LS_NAND2X43           40     353.600    CORE65LPSVT 
HS65_LS_NAND2X7          1208    2512.640    CORE65LPSVT 
HS65_LS_NAND3AX13          47     268.840    CORE65LPSVT 
HS65_LS_NAND3AX19          51     397.800    CORE65LPSVT 
HS65_LS_NAND3AX25          34     335.920    CORE65LPSVT 
HS65_LS_NAND3AX6           38     138.320    CORE65LPSVT 
HS65_LS_NAND3X13           68     353.600    CORE65LPSVT 
HS65_LS_NAND3X25           17     150.280    CORE65LPSVT 
HS65_LS_NAND3X38           17     221.000    CORE65LPSVT 
HS65_LS_NAND3X6            30      93.600    CORE65LPSVT 
HS65_LS_NAND4ABX13         17     114.920    CORE65LPSVT 
HS65_LS_NAND4ABX19         30     296.400    CORE65LPSVT 
HS65_LS_NAND4ABX25          4      47.840    CORE65LPSVT 
HS65_LS_NOR2AX13          418    1738.880    CORE65LPSVT 
HS65_LS_NOR2AX19          161     920.920    CORE65LPSVT 
HS65_LS_NOR2AX25          102     689.520    CORE65LPSVT 
HS65_LS_NOR2AX3           298     774.800    CORE65LPSVT 
HS65_LS_NOR2AX6           263     820.560    CORE65LPSVT 
HS65_LS_NOR2X13           532    1936.480    CORE65LPSVT 
HS65_LS_NOR2X19           382    1986.400    CORE65LPSVT 
HS65_LS_NOR2X25           421    2627.040    CORE65LPSVT 
HS65_LS_NOR2X38           297    2625.480    CORE65LPSVT 
HS65_LS_NOR2X50            68     813.280    CORE65LPSVT 
HS65_LS_NOR2X6            682    1418.560    CORE65LPSVT 
HS65_LS_NOR2X9            165     600.600    CORE65LPSVT 
HS65_LS_NOR3AX18           17     167.960    CORE65LPSVT 
HS65_LS_NOR3AX9            17      97.240    CORE65LPSVT 
HS65_LS_NOR3X4             34      88.400    CORE65LPSVT 
HS65_LS_OA12X18           136     565.760    CORE65LPSVT 
HS65_LS_OA12X27            85     618.800    CORE65LPSVT 
HS65_LS_OA12X35            68     530.400    CORE65LPSVT 
HS65_LS_OA12X9             68     247.520    CORE65LPSVT 
HS65_LS_OAI112X16          17     150.280    CORE65LPSVT 
HS65_LS_OAI112X5           34     123.760    CORE65LPSVT 
HS65_LS_OAI12X12          501    2605.200    CORE65LPSVT 
HS65_LS_OAI12X18          269    1818.440    CORE65LPSVT 
HS65_LS_OAI12X24          163    1440.920    CORE65LPSVT 
HS65_LS_OAI12X3            44     114.400    CORE65LPSVT 
HS65_LS_OAI12X37           41     533.000    CORE65LPSVT 
HS65_LS_OAI12X49            3      51.480    CORE65LPSVT 
HS65_LS_OAI12X5            42     131.040    CORE65LPSVT 
HS65_LS_OAI12X6            88     274.560    CORE65LPSVT 
HS65_LS_OAI12X9            47     244.400    CORE65LPSVT 
HS65_LS_OAI13X5            17      61.880    CORE65LPSVT 
HS65_LS_OAI211X11          34     212.160    CORE65LPSVT 
HS65_LS_OAI21X12           27     140.400    CORE65LPSVT 
HS65_LS_OAI21X18           63     425.880    CORE65LPSVT 
HS65_LS_OAI21X24            3      26.520    CORE65LPSVT 
HS65_LS_OAI21X3           218     566.800    CORE65LPSVT 
HS65_LS_OAI21X6             2       6.240    CORE65LPSVT 
HS65_LS_OAI21X9            42     218.400    CORE65LPSVT 
HS65_LS_OAI31X10           17     106.080    CORE65LPSVT 
HS65_LS_OR2ABX27            3      17.160    CORE65LPSVT 
HS65_LS_OR2X18            238     866.320    CORE65LPSVT 
HS65_LS_OR2X27             71     406.120    CORE65LPSVT 
HS65_LS_OR2X35             51     318.240    CORE65LPSVT 
HS65_LS_OR2X9             286     892.320    CORE65LPSVT 
HS65_LS_PAO2X18            19     108.680    CORE65LPSVT 
HS65_LS_PAO2X9             68     318.240    CORE65LPSVT 
HS65_LS_PAOI2X1            34     123.760    CORE65LPSVT 
HS65_LS_PAOI2X11           55     429.000    CORE65LPSVT 
HS65_LS_PAOI2X17           17     185.640    CORE65LPSVT 
HS65_LS_PAOI2X44           17     486.200    CORE65LPSVT 
HS65_LS_PAOI2X6            48     199.680    CORE65LPSVT 
HS65_LS_PAOI2X8            16     124.800    CORE65LPSVT 
HS65_LS_XNOR2X18          466    3150.160    CORE65LPSVT 
HS65_LS_XNOR2X35           31     354.640    CORE65LPSVT 
HS65_LS_XNOR2X4            34     159.120    CORE65LPSVT 
HS65_LS_XNOR2X9           238    1237.600    CORE65LPSVT 
HS65_LS_XOR2X18           385    2602.600    CORE65LPSVT 
HS65_LS_XOR2X27            73     759.200    CORE65LPSVT 
HS65_LS_XOR2X35           299    3420.560    CORE65LPSVT 
HS65_LS_XOR2X4             34     159.120    CORE65LPSVT 
HS65_LS_XOR2X9            187     972.400    CORE65LPSVT 
---------------------------------------------------------
total                   25302  145186.080                


                                           
     Type      Instances    Area    Area % 
-------------------------------------------
sequential           750   7944.560    5.5 
inverter            4777  11441.040    7.9 
buffer               277   2061.800    1.4 
logic              19498 123738.680   85.2 
physical_cells         0      0.000    0.0 
-------------------------------------------
total              25302 145186.080  100.0 

