============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  03:29:17 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
HS65_LS_CNIVX62            18      131.040      0.476      11.904    CORE65LPSVT 
HS65_LS_CNIVX7            861     1343.160      1.548     143.423    CORE65LPSVT 
HS65_LS_CNIVX82             2       19.760      0.062       2.144    CORE65LPSVT 
HS65_LS_DFPHQX9           700     7280.000      6.897    3473.391    CORE65LPSVT 
HS65_LS_DFPRQX4          1560    16224.000     13.700    7103.111    CORE65LPSVT 
HS65_LS_DFPRQX9         46664   485305.600    461.588  218269.416    CORE65LPSVT 
HS65_LS_FA1X18           2970    41698.800     70.882   12174.994    CORE65LPSVT 
HS65_LS_FA1X27           4350    92742.000    162.386   25715.055    CORE65LPSVT 
HS65_LS_FA1X35             26      689.520      1.318     187.354    CORE65LPSVT 
HS65_LS_FA1X4            1199    11222.640      7.482    1426.207    CORE65LPSVT 
HS65_LS_FA1X9            2750    30030.000     29.868    4903.172    CORE65LPSVT 
HS65_LS_HA1X18            246     1790.880      4.995     427.262    CORE65LPSVT 
HS65_LS_HA1X27             98     1172.080      3.235     299.485    CORE65LPSVT 
HS65_LS_HA1X35             32      432.640      1.406     152.887    CORE65LPSVT 
HS65_LS_HA1X4             642     3338.400      3.285     242.224    CORE65LPSVT 
HS65_LS_HA1X9             264     1647.360      2.456     284.609    CORE65LPSVT 
HS65_LS_IVX106             17      150.280      0.726      20.283    CORE65LPSVT 
HS65_LS_IVX13               7       14.560      0.028       1.270    CORE65LPSVT 
HS65_LS_IVX142             64      765.440      3.629      58.692    CORE65LPSVT 
HS65_LS_IVX18            3223     6703.840     17.452     804.927    CORE65LPSVT 
HS65_LS_IVX213              2       34.320      0.178       5.014    CORE65LPSVT 
HS65_LS_IVX22               4       12.480      0.031       1.378    CORE65LPSVT 
HS65_LS_IVX27            1154     3600.480     10.643     463.738    CORE65LPSVT 
HS65_LS_IVX31              38      138.320      0.416      16.135    CORE65LPSVT 
HS65_LS_IVX35             623     2267.720      7.752     309.111    CORE65LPSVT 
