============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 01 2020  08:21:46 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate         Instances     Area        Library    
---------------------------------------------------------
HS65_LSS_XNOR2X12         434    2933.840    CORE65LPSVT 
HS65_LSS_XNOR2X18         136    1414.400    CORE65LPSVT 
HS65_LSS_XNOR2X24          72     898.560    CORE65LPSVT 
HS65_LSS_XNOR2X6         1218    5066.880    CORE65LPSVT 
HS65_LSS_XOR2X6          1207    5021.120    CORE65LPSVT 
HS65_LS_AND2X18           297    1081.080    CORE65LPSVT 
HS65_LS_AND2X27            73     417.560    CORE65LPSVT 
HS65_LS_AND2X35            99     617.760    CORE65LPSVT 
HS65_LS_AND2X4            296     769.600    CORE65LPSVT 
HS65_LS_AND2X9            323    1007.760    CORE65LPSVT 
HS65_LS_AND3X18            66     308.880    CORE65LPSVT 
HS65_LS_AND3X35            66     514.800    CORE65LPSVT 
HS65_LS_AO12X18            26     108.160    CORE65LPSVT 
HS65_LS_AO12X27            74     500.240    CORE65LPSVT 
HS65_LS_AO12X35            59     460.200    CORE65LPSVT 
HS65_LS_AO12X9             41     149.240    CORE65LPSVT 
HS65_LS_AO32X4             66     308.880    CORE65LPSVT 
HS65_LS_AO32X9             66     343.200    CORE65LPSVT 
HS65_LS_AOI12X12          184     956.800    CORE65LPSVT 
HS65_LS_AOI12X17          247    1669.720    CORE65LPSVT 
HS65_LS_AOI12X23          200    1768.000    CORE65LPSVT 
HS65_LS_AOI12X6            51     159.120    CORE65LPSVT 
HS65_LS_AOI12X9            24     124.800    CORE65LPSVT 
HS65_LS_AOI211X4           66     240.240    CORE65LPSVT 
HS65_LS_AOI21X12          169     878.800    CORE65LPSVT 
HS65_LS_AOI21X17           79     534.040    CORE65LPSVT 
HS65_LS_AOI21X23           82     724.880    CORE65LPSVT 
HS65_LS_AOI21X9            52     270.400    CORE65LPSVT 
HS65_LS_AOI22X6            33     120.120    CORE65LPSVT 
HS65_LS_AOI31X20           66     789.360    CORE65LPSVT 
HS65_LS_BFX106             88    1052.480    CORE65LPSVT 
HS65_LS_BFX142             64     998.400    CORE65LPSVT 
HS65_LS_BFX18             798    2489.760    CORE65LPSVT 
HS65_LS_BFX27             149     542.360    CORE65LPSVT 
HS65_LS_BFX31               1       5.200    CORE65LPSVT 
HS65_LS_BFX35              43     223.600    CORE65LPSVT 
HS65_LS_BFX40               8      45.760    CORE65LPSVT 
HS65_LS_BFX44              38     217.360    CORE65LPSVT 
HS65_LS_BFX53             124     773.760    CORE65LPSVT 
HS65_LS_BFX62              22     171.600    CORE65LPSVT 
