============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  06:20:53 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Leakage   Dynamic    Total   
   Instance    Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------
filter_regular 17384    92.077 17053.497 17145.574 
  S0[3].U0      1734     8.234  1404.630  1412.864 
  S0[0].U0      1731     8.231  1382.695  1390.926 
  S0[2].U0      1731     8.227  1405.358  1413.585 
  S0[1].U0      1731     8.224  1393.321  1401.545 
  S0[5].U0      1734     8.223  1359.050  1367.273 
  S0[7].U0      1732     8.215  1385.531  1393.746 
  S0[6].U0      1730     8.205  1344.245  1352.450 
  S0[4].U0      1730     8.201  1367.054  1375.255 
  S0[8].U0      1729     8.184  1343.187  1351.371 

