============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  05:15:40 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

               Instance                                  Module                    Cells  Cell Area  Net Area   Total Area 
---------------------------------------------------------------------------------------------------------------------------
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_15_5238       55        569       111          680 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_15_5237        55        566       111          678 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_8         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_8        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_15_5236       45        396        88          483 
    PUs[4].U_F8                       filter_4_bit_width10_4                         681       3810      1335         5146 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_11_5217        55        581       111          692 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_11_5218       55        565       111          676 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_4         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_4        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_11_5216       45        399        88          487 
    PUs[12].U_F8                      filter_4_bit_width10_12                        679       3809      1333         5142 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_4_5257         55        586       111          697 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_4_5258        55        566       111          678 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_12        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_12       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_4_5256        45        391        88          478 
    PUs[15].U_F8                      filter_4_bit_width10_15                        689       3788      1350         5138 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_7_5273        60        578       120          698 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_7_5272         55        577       111          688 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_15        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_15       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_7_5271        45        392        88          480 
    PUs[7].U_F8                       filter_4_bit_width10_7                         680       3804      1334         5138 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_14_5232        55        574       111          685 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_14_5233       55        567       111          678 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_7         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_7        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_14_5231       45        391        88          478 
    PUs[16].U_F8                      filter_4_bit_width10_16                        679       3804      1333         5137 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_8_5277         55        593       111          705 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_8_5278        55        564       111          675 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_16        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_16       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_8_5276        45        393        88          480 
    PUs[6].U_F8                       filter_4_bit_width10_6                         680       3790      1334         5124 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_13_5228       55        582       111          693 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_13_5227        55        566       111          677 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_6         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_6        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_13_5226       45        391        88          478 
    PUs[9].U_F8                       filter_4_bit_width10_9                         679       3784      1333         5117 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_16_5242        55        578       111          689 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_16_5243       55        564       111          675 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_9         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_9        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_16_5241       45        399        88          487 
    PUs[20].U_F8                      filter_4_bit_width10_20                        679       3762      1334         5096 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_3_5300        55        605       111          716 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_3_5299         55        578       111          690 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5281_3         89        447       158          605 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5283_3        85        427       153          580 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_3_5298        45        391        88          479 
    PUs[19].U_F8                      filter_4_bit_width10_19                        678       3752      1334         5086 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_2_5295        55        599       111          710 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_2_5294         55        577       111          688 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5281_2         89        447       158          605 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5283_2        85        427       153          580 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_2_5293        45        390        88          478 
    PUs[17].U_F8                      filter_4_bit_width10_17                        673       3715      1327         5042 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_5284           55        566       111          677 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_5285          55        565       111          677 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5281           89        447       158          605 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5283          85        427       153          580 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_5282          45        389        88          477 
    PUs[46].U_F8                      filter_4_bit_width10_46                        653       3728      1299         5027 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_12_5180       55        583       111          694 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_12_5179        55        576       111          687 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_12        82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_12       82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_12_5178       41        330        83          412 
    PUs[21].U_F8                      filter_4_bit_width10_21                        668       3711      1315         5025 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_4_5304         55        588       111          699 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_4_5305        55        523       111          634 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5281_4         89        447       158          605 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5283_4        85        427       153          580 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_4_5303        45        395        88          483 
    PUs[56].U_F8                      filter_4_bit_width10_56                        652       3725      1294         5020 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_5              55        581       111          693 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_5             55        576       111          687 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5              84        469       152          621 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5             82        437       150          587 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_5             41        332        83          415 
    PUs[38].U_F8                      filter_4_bit_width10_38                        660       3711      1308         5018 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_4_5139         55        583       111          694 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_4_5140        55        544       111          655 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_4         82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_4        82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_4_5138        41        333        83          416 
    PUs[34].U_F8                      filter_4_bit_width10_34                        654       3711      1298         5009 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_5120          55        589       111          700 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_5119           55        557       111          669 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116           82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118          82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_5117          41        330        83          412 
    PUs[18].U_F8                      filter_4_bit_width10_18                        676       3683      1326         5009 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_1_5289         55        574       111          685 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_1_5290        55        570       111          682 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5281_1         89        447       158          605 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5283_1        85        427       153          580 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_1_5288        45        393        88          480 
    PUs[55].U_F8                      filter_4_bit_width10_55                        649       3720      1288         5008 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_4             55        589       111          700 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_4              55        581       111          693 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_4              84        469       152          621 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_4             82        437       150          587 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_4             41        329        83          411 
    PUs[48].U_F8                      filter_4_bit_width10_48                        658       3697      1304         5001 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_14            55        566       111          677 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_14             55        563       111          674 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_14        82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_14       82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_14            41        330        83          412 
    PUs[25].U_F8                      filter_4_bit_width10_25                        653       3702      1299         5001 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_8_5327        55        583       111          694 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_8_5326         55        539       111          651 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5_5310_3      83        460       151          611 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5_5308_3       83        426       151          577 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_8_5325        41        331        83          413 
    PUs[41].U_F8                      filter_4_bit_width10_41                        651       3705      1292         4997 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_7_5154         55        589       111          700 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_7_5155        55        576       111          687 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_7         82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_7        82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_7_5153        41        330        83          412 
    PUs[49].U_F8                      filter_4_bit_width10_49                        656       3689      1303         4992 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_15             55        589       111          700 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_15            55        544       111          655 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_15        82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_15       82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_15            41        332        83          415 
    PUs[28].U_F8                      filter_4_bit_width10_28                        657       3680      1304         4984 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_11_5341        55        583       111          694 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_11_5342       55        565       111          677 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5_5310_6      83        460       151          611 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5_5308_6       83        426       151          577 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_11_5340       41        320        83          403 
    PUs[53].U_F8                      filter_4_bit_width10_53                        650       3691      1292         4983 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_2              55        587       111          698 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_2             55        567       111          678 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_2              84        469       152          621 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_2             82        437       150          587 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_2             41        330        83          412 
    PUs[31].U_F8                      filter_4_bit_width10_31                        658       3676      1303         4979 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_14_5357       55        565       111          677 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_14_5356        55        565       111          676 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5_5310_9      83        460       151          611 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5_5308_9       83        426       151          577 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_14_5355       41        333        83          416 
    PUs[45].U_F8                      filter_4_bit_width10_45                        656       3677      1301         4978 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_11_5174        55        576       111          687 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_11_5175       55        542       111          654 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_11        82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_11       82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_11_5173       41        330        83          412 
    PUs[30].U_F8                      filter_4_bit_width10_30                        651       3684      1292         4976 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_13_5352       55        581       111          693 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_13_5351        55        553       111          664 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5_5310_8      83        460       151          611 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5_5308_8       83        426       151          577 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_13_5350       41        327        83          409 
    PUs[37].U_F8                      filter_4_bit_width10_37                        653       3677      1297         4974 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_3_5134         55        563       111          674 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_3_5135        55        557       111          669 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5116_3         82        458       150          607 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5118_3        82        445       150          595 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_3_5133        41        327        83          409 
    PUs[40].U_F8                      filter_4_bit_width10_40                        652       3680      1293         4972 
