============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  05:16:14 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library     
HS65_LS_HA1X4             324     1684.800      1.685     256.959    CORE65LPSVT  
HS65_LS_HA1X9             483     3013.920      4.616     582.021    CORE65LPSVT  
HS65_LS_IVX106              8       70.720      0.342      11.091    CORE65LPSVT  
HS65_LS_IVX13              13       27.040      0.051       1.530    CORE65LPSVT  
HS65_LS_IVX142             32      382.720      1.830      44.469    CORE65LPSVT  
HS65_LS_IVX18            3162     6576.960     17.097     707.622    CORE65LPSVT  
HS65_LS_IVX213              5       85.800      0.448      15.319    CORE65LPSVT  
HS65_LS_IVX22               1        3.120      0.008       0.374    CORE65LPSVT  
HS65_LS_IVX27             423     1319.760      3.910     182.578    CORE65LPSVT  
HS65_LS_IVX284              2       44.720      0.240       8.139    CORE65LPSVT  
HS65_LS_IVX31              59      214.760      0.647      30.170    CORE65LPSVT  
HS65_LS_IVX35            1004     3654.560     12.682     603.950    CORE65LPSVT  
HS65_LS_IVX40               8       33.280      0.115       5.532    CORE65LPSVT  
HS65_LS_IVX44             434     1805.440      6.983     308.215    CORE65LPSVT  
HS65_LS_IVX49              28      145.600      0.518      24.533    CORE65LPSVT  
HS65_LS_IVX53             225     1170.000      4.517     183.078    CORE65LPSVT  
HS65_LS_IVX62               9       51.480      0.213       8.940    CORE65LPSVT  
HS65_LS_IVX71             300     1872.000      8.211     281.981    CORE65LPSVT  
HS65_LS_IVX9            14643    22843.080     37.483    2270.617    CORE65LPSVT  
HS65_LS_MUX21I1X12        596     4028.960      7.894     700.556    CORE65LPSVT  
HS65_LS_MUX21I1X18         90      936.000      1.958     160.832    CORE65LPSVT  
HS65_LS_MUX21I1X24          7       87.360      0.214      16.900    CORE65LPSVT  
HS65_LS_MUX21I1X6         273     1135.680      1.799     148.161    CORE65LPSVT  
HS65_LS_MUX21X4           508     2113.280      2.363     255.318    CORE65LPSVT  
HS65_LS_MUX21X9            86      402.480      0.653      34.077    CORE65LPSVT  
HS65_LS_NAND2AX14         379     1576.640      3.806     218.752    CORE65LPSVT  
HS65_LS_NAND2AX21         381     2179.320      4.148     233.969    CORE65LPSVT  
HS65_LS_NAND2AX29         215     1453.400      4.058     211.754    CORE65LPSVT  
HS65_LS_NAND2AX7         1412     4405.440      6.653     437.423    CORE65LPSVT  
HS65_LS_NAND2X11           23       83.720      0.173       7.869    CORE65LPSVT  
