============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:10:17 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    addinc_PUs.._S1_add_18_16    24     0.195    11.993    12.951         24.944            25.139 
    addinc_PUs.._S1_add_18_16    24     0.195    14.023    15.656         29.679            29.873 
    addinc_PUs.._S1_add_18_16    24     0.194    13.602    14.565         28.167            28.361 
    addinc_PUs..S10_add_41_28     3     0.042     3.050    17.507         20.557            20.599 
    addinc_PUs..S10_add_41_28     3     0.042     3.052    16.637         19.689            19.730 
    addinc_PUs..S10_add_41_28     3     0.042     2.763    13.217         15.980            16.022 
    addinc_PUs..S10_add_41_28     3     0.042     2.974    15.524         18.498            18.540 
    addinc_PUs..S10_add_41_28     3     0.041     2.640    16.037         18.677            18.718 
    addinc_PUs..S10_add_41_28     3     0.041     2.862    15.811         18.673            18.714 
    addinc_PUs..S10_add_41_28     3     0.018     1.367     1.416          2.782             2.800 
    addinc_PUs..S10_add_41_28     3     0.017     1.743     1.978          3.721             3.739 
    addinc_PUs..S10_add_41_28     3     0.017     1.425     1.585          3.011             3.028 
    addinc_PUs..S10_add_41_28     3     0.017     1.518     1.720          3.238             3.256 
    addinc_PUs..S10_add_41_28     3     0.017     1.667     1.704          3.371             3.389 
    addinc_PUs..S10_add_41_28     3     0.017     1.827     2.020          3.847             3.864 
    addinc_PUs..S10_add_41_28     3     0.017     1.561     1.663          3.224             3.242 
    addinc_PUs..S10_add_41_28     3     0.017     1.629     1.757          3.387             3.404 
    addinc_PUs..S10_add_41_28     3     0.017     1.686     1.954          3.641             3.658 
    addinc_PUs..S10_add_41_28     3     0.017     1.358     1.476          2.834             2.851 
    addinc_PUs..S10_add_41_28     3     0.017     1.725     1.974          3.699             3.716 
  U_crtl                         92     0.582    94.759    37.975        132.734           133.316 
    inc_add_679_29                9     0.041     0.599     0.421          1.020             1.061 
    inc_add_649_29                9     0.037     0.577     0.466          1.042             1.079 
    inc_add_664_29                9     0.037     0.211     0.176          0.387             0.423 
    lt_577_18                     2     0.010     0.485     0.488          0.974             0.984 
    lt_584_18                     2     0.008     0.000     0.000          0.000             0.008 
    lt_591_18                     2     0.008     0.000     0.000          0.000             0.008 
  clipping[8].U_clip             11     0.050     4.458     3.011          7.469             7.519 
    gte_446_34                    3     0.010     0.304     0.691          0.996             1.006 
  clipping[9].U_clip             11     0.050     4.601     3.169          7.770             7.820 
    gte_446_34                    3     0.011     0.428     0.834          1.262             1.272 
  clipping[2].U_clip             11     0.050     4.337     3.032          7.370             7.419 
    gte_446_34                    3     0.010     0.486     0.868          1.353             1.363 
  clipping[11].U_clip            11     0.050     4.430     3.242          7.672             7.722 
    gte_446_34                    3     0.011     0.455     1.000          1.455             1.465 
  clipping[12].U_clip            11     0.050     4.076     3.223          7.300             7.349 
    gte_446_34                    3     0.010     0.477     1.167          1.644             1.655 
  clipping[6].U_clip             11     0.050     4.439     3.514          7.953             8.003 
    gte_446_34                    3     0.010     0.472     1.241          1.713             1.723 
  clipping[3].U_clip             11     0.049     4.444     3.433          7.877             7.927 
    gte_446_34                    3     0.010     0.690     1.284          1.974             1.984 
  clipping[14].U_clip            11     0.049     4.318     3.591          7.909             7.958 
    gte_446_34                    3     0.010     0.598     1.457          2.055             2.066 
  clipping[5].U_clip             11     0.049     4.053     3.210          7.262             7.311 
    gte_446_34                    3     0.010     0.539     1.200          1.739             1.749 
  clipping[15].U_clip            11     0.049     3.798     3.308          7.105             7.154 
    gte_446_34                    3     0.010     0.789     1.560          2.349             2.359 
  clipping[0].U_clip             11     0.049     4.088     3.345          7.433             7.482 
    gte_446_34                    3     0.011     0.497     1.258          1.755             1.766 
  clipping[1].U_clip              3     0.015     0.932     0.541          1.473             1.487 
  clipping[4].U_clip              3     0.014     1.034     0.603          1.637             1.651 
  clipping[10].U_clip             3     0.014     0.672     0.387          1.059             1.073 
  clipping[7].U_clip              3     0.014     0.866     0.510          1.376             1.390 
  clipping[13].U_clip             3     0.014     0.798     0.464          1.262             1.276 
  clipping[16].U_clip             3     0.014     0.879     0.510          1.389             1.403 
  clipping[4..ip_gte_446_34       3     0.011     0.220     0.692          0.912             0.923 
  clipping[3..ip_gte_446_34       3     0.010     0.576     0.556          1.132             1.143 
  clipping[3..ip_gte_446_34       3     0.010     0.319     0.663          0.982             0.992 
  clipping[5..ip_gte_446_34       3     0.010     0.957     1.830          2.788             2.798 
  clipping[4..ip_gte_446_34       3     0.010     0.564     1.292          1.857             1.867 
  clipping[3..ip_gte_446_34       3     0.010     0.274     0.964          1.238             1.249 
  clipping[1..ip_gte_446_34       3     0.010     0.573     1.530          2.103             2.113 
  clipping[3..ip_gte_446_34       3     0.010     0.426     1.128          1.554             1.565 
  clipping[3..ip_gte_446_34       3     0.010     0.339     0.760          1.099             1.109 
  clipping[4..ip_gte_446_34       3     0.010     0.460     1.560          2.020             2.030 
  clipping[4..ip_gte_446_34       3     0.010     0.612     1.646          2.257             2.268 
  clipping[4..ip_gte_446_34       3     0.010     0.373     0.777          1.150             1.160 
  clipping[2..ip_gte_446_34       3     0.010     0.485     1.321          1.806             1.816 
  clipping[2..ip_gte_446_34       3     0.010     0.468     1.480          1.947             1.958 
  clipping[2..ip_gte_446_34       3     0.010     0.314     0.822          1.136             1.146 
  clipping[2..ip_gte_446_34       3     0.010     0.587     1.549          2.136             2.146 
  clipping[3..ip_gte_446_34       3     0.010     0.418     1.367          1.785             1.795 
  clipping[1..ip_gte_446_34       3     0.010     0.419     1.288          1.707             1.717 
  clipping[4..ip_gte_446_34       3     0.010     0.612     1.645          2.257             2.267 
  clipping[2..ip_gte_446_34       3     0.010     0.449     1.305          1.754             1.764 
  clipping[3..ip_gte_446_34       3     0.010     0.708     1.694          2.403             2.413 
  clipping[2..ip_gte_446_34       3     0.010     0.569     1.611          2.179             2.189 
  clipping[2..ip_gte_446_34       3     0.010     0.280     0.885          1.165             1.175 

