============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  08:20:57 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Leakage   Dynamic    Total   
   Instance    Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------
filter_regular 17421    94.971 18530.420 18625.391 
  S0[6].U0      1736     8.469  1359.237  1367.706 
  S0[3].U0      1736     8.460  1414.598  1423.058 
  S0[7].U0      1736     8.458  1400.087  1408.544 
  S0[5].U0      1736     8.458  1370.764  1379.222 
  S0[0].U0      1741     8.455  1388.499  1396.954 
  S0[2].U0      1741     8.454  1411.104  1419.558 
  S0[1].U0      1741     8.453  1398.738  1407.191 
  S0[4].U0      1738     8.447  1381.626  1390.073 
  S0[8].U0      1736     8.440  1357.689  1366.129 

