============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2019  03:45:03 pm
  Module:                 FME_PIPE_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    PUs[4].U_F4_U_p3             16     0.145   148.093    23.865        171.957           172.103 
    PUs[4].U_F4_U_p13            16     0.145   148.899    24.802        173.701           173.846 
    PUs[0].U_F4_U_p3             16     0.145   148.632    25.854        174.486           174.631 
    PUs[1].U_F4_U_p13            16     0.145   148.236    24.415        172.651           172.796 
    PUs[2].U_F4_U_p3             16     0.145   148.235    24.149        172.385           172.530 
    PUs[2].U_F4_U_p13            16     0.145   148.526    24.803        173.329           173.474 
    PUs[3].U_F4_U_p3             16     0.145   148.525    24.409        172.934           173.079 
    PUs[0].U_F4_U_p10            14     0.131   137.259    16.825        154.085           154.216 
    PUs[3].U_F4_U_p1             14     0.131   137.259    16.737        153.997           154.128 
    PUs[1].U_F4_U_p1             14     0.131   136.515    16.668        153.183           153.314 
    PUs[0].U_F4_U_p1             14     0.131   134.044    14.835        148.879           149.010 
    PUs[3].U_F4_U_p10            14     0.131   135.076    15.485        150.561           150.692 
    PUs[2].U_F4_U_p1             14     0.131   137.652    17.365        155.018           155.149 
    PUs[2].U_F4_U_p10            14     0.131   134.248    14.935        149.183           149.315 
    PUs[4].U_F4_U_p10            14     0.131   135.435    15.924        151.359           151.490 
    PUs[1].U_F4_U_p10            14     0.131   134.727    15.691        150.419           150.550 
    PUs[4].U_F4_U_p1             14     0.131   134.727    15.691        150.419           150.550 
    PUs[0].U_F4_U_p4             14     0.131   137.929    21.800        159.729           159.860 
    PUs[1].U_F4_U_p12            14     0.131   137.926    19.926        157.852           157.983 
    PUs[3].U_F4_U_p4             14     0.131   135.592    18.234        153.826           153.957 
    PUs[4].U_F4_U_p12            14     0.131   135.591    18.009        153.601           153.732 
    PUs[4].U_F4_U_p4             14     0.131   138.599    20.384        158.983           159.114 
    PUs[1].U_F4_U_p4             14     0.131   135.977    20.417        156.394           156.525 
    PUs[2].U_F4_U_p12            14     0.131   135.975    18.520        154.495           154.626 
    PUs[2].U_F4_U_p4             14     0.131   135.542    18.649        154.191           154.322 
    PUs[3].U_F4_U_p12            14     0.131   135.541    18.362        153.904           154.034 
    PUs[0].U_F4_U_p12            14     0.131   135.953    20.343        156.296           156.426 
    PUs[3].U_F4_U_p5             13     0.120   133.923    13.573        147.496           147.616 
    PUs[1].U_F4_U_p5             13     0.120   134.413    13.234        147.647           147.768 
    PUs[4].U_F4_U_p5             13     0.120   134.459    13.864        148.323           148.444 
    PUs[0].U_F4_U_p5             13     0.120   135.020    13.733        148.752           148.873 
    PUs[2].U_F4_U_p5             13     0.120   133.959    13.770        147.729           147.849 
    PUs[1].U_F.._S0_add_41_16    11     0.104     7.244     3.998         11.243            11.347 
    PUs[0].U_F..S20_add_41_16    11     0.103     8.634     6.357         14.991            15.094 
    PUs[3].U_F..S20_add_41_16    11     0.103     7.173     4.096         11.269            11.372 
    PUs[2].U_F.._S0_add_41_16    11     0.103     8.516     4.619         13.136            13.238 
    PUs[2].U_F4_U_p6             11     0.103   111.758     6.918        118.676           118.779 
    PUs[4].U_F4_U_p6             11     0.103   109.042     6.344        115.385           115.488 
    PUs[1].U_F4_U_p6             11     0.103   111.264     6.832        118.096           118.198 
    PUs[0].U_F4_U_p6             11     0.103   108.659     6.158        114.817           114.920 
    PUs[1].U_F..S20_add_41_16    11     0.103     7.731     5.579         13.310            13.413 
    PUs[3].U_F4_U_p6             11     0.102   110.273     6.658        116.931           117.033 
    PUs[4].U_F..S20_add_41_16    11     0.102     7.145     3.655         10.800            10.902 
    PUs[0].U_F.._S0_add_41_16    11     0.102     7.223     3.820         11.042            11.144 
    PUs[2].U_F..S20_add_41_16    11     0.102     8.198     4.880         13.078            13.180 
    PUs[3].U_F4_U_p2             10     0.093    95.139     7.521        102.661           102.754 
    PUs[2].U_F4_U_p2             10     0.093    94.232     7.161        101.394           101.487 
    PUs[2].U_F4_U_p11            10     0.093    94.737     7.228        101.965           102.059 
    PUs[0].U_F4_U_p11            10     0.093    93.891     6.432        100.323           100.417 
    PUs[1].U_F4_U_p2             10     0.093    93.323     6.419         99.742            99.836 
    PUs[4].U_F4_U_p11            10     0.093    93.324     6.789        100.112           100.206 
    PUs[0].U_F4_U_p2             10     0.093    94.130     6.283        100.413           100.507 
    PUs[3].U_F4_U_p11            10     0.093    94.131     7.144        101.275           101.368 
