============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  04:49:44 am
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
HS65_LS_HA1X9             308    1921.920      2.892     605.175    CORE65LPSVT  
HS65_LS_IVX106             13     114.920      0.554      36.579    CORE65LPSVT  
HS65_LS_IVX142             75     897.000      4.368     371.524    CORE65LPSVT  
HS65_LS_IVX18            1019    2119.520      5.443     369.512    CORE65LPSVT  
HS65_LS_IVX2                1       1.560      0.001       0.026    CORE65LPSVT  
HS65_LS_IVX213              2      34.320      0.177       5.216    CORE65LPSVT  
HS65_LS_IVX27             302     942.240      2.767     186.125    CORE65LPSVT  
HS65_LS_IVX31               4      14.560      0.044       3.087    CORE65LPSVT  
HS65_LS_IVX35             561    2042.040      7.044     411.063    CORE65LPSVT  
HS65_LS_IVX44             396    1647.360      6.408     327.719    CORE65LPSVT  
HS65_LS_IVX53             292    1518.400      5.860     309.637    CORE65LPSVT  
HS65_LS_IVX62               1       5.720      0.024       1.527    CORE65LPSVT  
HS65_LS_IVX71             413    2577.120     11.345     920.637    CORE65LPSVT  
HS65_LS_IVX9            11933   18615.480     31.239    2752.755    CORE65LPSVT  
HS65_LS_MUX21I1X12        171    1155.960      2.436     202.418    CORE65LPSVT  
HS65_LS_MUX21I1X18         71     738.400      1.549     153.089    CORE65LPSVT  
HS65_LS_MUX21I1X6         148     615.680      1.082      93.987    CORE65LPSVT  
HS65_LS_MUX21X18           63     393.120      1.022     107.789    CORE65LPSVT  
HS65_LS_MUX21X27            1       9.360      0.023       3.008    CORE65LPSVT  
HS65_LS_MUX21X4           471    1959.360      2.165     339.600    CORE65LPSVT  
HS65_LS_NAND2AX14         417    1734.720      3.355     192.750    CORE65LPSVT  
HS65_LS_NAND2AX21           4      22.880      0.027       1.079    CORE65LPSVT  
HS65_LS_NAND2AX29           8      54.080      0.057       0.700    CORE65LPSVT  
HS65_LS_NAND2AX4            2       6.240      0.005       0.108    CORE65LPSVT  
HS65_LS_NAND2AX7         1943    6062.160      9.901    1050.059    CORE65LPSVT  
HS65_LS_NAND2X11          116     422.240      0.500      49.133    CORE65LPSVT  
HS65_LS_NAND2X14          817    2973.880      4.926     384.873    CORE65LPSVT  
HS65_LS_NAND2X21          428    2225.600      6.293     301.031    CORE65LPSVT  
HS65_LS_NAND2X29          431    2689.440      7.671     413.573    CORE65LPSVT  
HS65_LS_NAND2X4             2       4.160      0.003       0.073    CORE65LPSVT  
HS65_LS_NAND2X43           76     671.840      2.687     125.001    CORE65LPSVT  
HS65_LS_NAND2X57           28     334.880      1.325      60.475    CORE65LPSVT  
HS65_LS_NAND2X7          3123    6495.840      5.112     753.832    CORE65LPSVT  
HS65_LS_NAND3X13           44     228.800      0.295      36.615    CORE65LPSVT  
HS65_LS_NAND3X19          107     723.320      0.409      84.238    CORE65LPSVT  
HS65_LS_NAND3X25           52     459.680      1.153      77.649    CORE65LPSVT  
HS65_LS_NAND3X38           79    1027.000      2.737     176.620    CORE65LPSVT  
HS65_LS_NAND3X5            19      49.400      0.006       1.062    CORE65LPSVT  
HS65_LS_NAND3X6             2       6.240      0.001       0.149    CORE65LPSVT  
HS65_LS_NOR2AX13          346    1439.360      3.268     305.556    CORE65LPSVT  
HS65_LS_NOR2AX19          128     732.160      0.921     181.717    CORE65LPSVT  
HS65_LS_NOR2AX3          1784    4638.400      4.149     565.773    CORE65LPSVT  
HS65_LS_NOR2AX6           789    2461.680      3.297     375.560    CORE65LPSVT  
HS65_LS_NOR2X13           680    2475.200      4.349     418.806    CORE65LPSVT  
HS65_LS_NOR2X19           241    1253.200      3.322     198.320    CORE65LPSVT  
HS65_LS_NOR2X25           167    1042.080      2.180     149.356    CORE65LPSVT  
HS65_LS_NOR2X38           182    1608.880      2.461     284.214    CORE65LPSVT  
HS65_LS_NOR2X6           2789    5801.120      8.140     976.840    CORE65LPSVT  
HS65_LS_NOR3AX4             1       3.640      0.002       0.051    CORE65LPSVT  
HS65_LS_OA112X9            87     361.920      0.295      40.537    CORE65LPSVT  
HS65_LS_OA12X18            30     124.800      0.321      39.447    CORE65LPSVT  
HS65_LS_OA12X9            207     753.480      0.980     148.837    CORE65LPSVT  
HS65_LS_OA22X18            42     240.240      0.336      70.170    CORE65LPSVT  
HS65_LS_OA22X9             45     210.600      0.173      39.916    CORE65LPSVT  
HS65_LS_OA311X18           21     120.120      0.273      44.461    CORE65LPSVT  
HS65_LS_OA311X9             1       4.680      0.003       0.000    CORE65LPSVT  
HS65_LS_OA31X9             22      91.520      0.094      18.806    CORE65LPSVT  
