============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 22 2020  01:47:13 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_DFPHQX9         10270  106808.000    103.255   51308.286    CORE65LPSVT 
HS65_LS_DFPRQNX9          429    4461.600      4.224    1490.267    CORE65LPSVT 
HS65_LS_DFPRQX18           10     109.200      0.132      36.143    CORE65LPSVT 
HS65_LS_DFPRQX27           40     478.400      0.666     148.346    CORE65LPSVT 
HS65_LS_DFPRQX35          187    2333.760      3.767     714.592    CORE65LPSVT 
HS65_LS_DFPRQX9            34     353.600      0.341     119.316    CORE65LPSVT 
HS65_LS_FA1X18           4412   61944.480    107.226    8466.856    CORE65LPSVT 
HS65_LS_FA1X27           2907   61977.240    109.089    8629.611    CORE65LPSVT 
HS65_LS_FA1X4           17116  160205.760    106.774    9628.546    CORE65LPSVT 
HS65_LS_FA1X9           17393  189931.560    189.745   18818.395    CORE65LPSVT 
HS65_LS_HA1X18            873    6355.440     18.588     841.866    CORE65LPSVT 
HS65_LS_HA1X27            120    1435.200      4.095     114.297    CORE65LPSVT 
HS65_LS_HA1X35              5      67.600      0.229       4.784    CORE65LPSVT 
HS65_LS_HA1X4            2729   14190.800     14.248     769.418    CORE65LPSVT 
HS65_LS_HA1X9             931    5809.440      9.081     427.980    CORE65LPSVT 
HS65_LS_IVX106            147    1299.480      6.315      83.781    CORE65LPSVT 
HS65_LS_IVX142              4      47.840      0.232       2.221    CORE65LPSVT 
HS65_LS_IVX18            6295   13093.600     33.438     653.829    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.036    CORE65LPSVT 
HS65_LS_IVX213              1      17.160      0.087       0.595    CORE65LPSVT 
HS65_LS_IVX27            1093    3410.160     10.108     156.839    CORE65LPSVT 
HS65_LS_IVX31              42     152.880      0.460       7.756    CORE65LPSVT 
HS65_LS_IVX35            1436    5227.040     18.044     233.176    CORE65LPSVT 
HS65_LS_IVX40              14      58.240      0.202       2.670    CORE65LPSVT 
HS65_LS_IVX44             676    2812.160     10.935     137.509    CORE65LPSVT 
HS65_LS_IVX53             416    2163.200      8.353     106.744    CORE65LPSVT 
HS65_LS_IVX62             110     629.200      2.603      34.076    CORE65LPSVT 
HS65_LS_IVX7               35      54.600      0.063       1.184    CORE65LPSVT 
HS65_LS_IVX71             155     967.200      4.273      48.402    CORE65LPSVT 
HS65_LS_IVX9            22158   34566.480     54.250    1424.901    CORE65LPSVT 
HS65_LS_MUX21I1X12        528    3569.280      6.591     259.765    CORE65LPSVT 
HS65_LS_MUX21I1X18        300    3120.000      6.378     181.990    CORE65LPSVT 
HS65_LS_MUX21I1X24          6      74.880      0.176       5.549    CORE65LPSVT 
HS65_LS_MUX21I1X6         395    1643.200      2.505     103.966    CORE65LPSVT 
HS65_LS_MUX21X18           39     243.360      0.690      39.795    CORE65LPSVT 
HS65_LS_MUX21X27            1       9.360      0.025       0.620    CORE65LPSVT 
HS65_LS_MUX21X4             1       4.160      0.005       0.521    CORE65LPSVT 
HS65_LS_MUX21X9           213     996.840      1.703      66.863    CORE65LPSVT 
HS65_LS_MUXI21X10           3      24.960      0.037       1.042    CORE65LPSVT 
HS65_LS_MUXI21X5            4      18.720      0.023       0.864    CORE65LPSVT 
HS65_LS_MUXI31X4            1       7.800      0.007       0.151    CORE65LPSVT 
HS65_LS_MUXI31X7           21     294.840      0.328      18.833    CORE65LPSVT 
HS65_LS_NAND2AX14         823    3423.680      7.732     204.151    CORE65LPSVT 
HS65_LS_NAND2AX21         501    2865.720      6.767     165.534    CORE65LPSVT 
HS65_LS_NAND2AX29          73     493.480      0.974      21.948    CORE65LPSVT 
HS65_LS_NAND2AX7         2106    6570.720     10.863     271.072    CORE65LPSVT 
HS65_LS_NAND2X11           55     200.200      0.310      14.168    CORE65LPSVT 
HS65_LS_NAND2X14         1411    5136.040      9.560     203.207    CORE65LPSVT 
HS65_LS_NAND2X21          714    3712.800      7.163     127.317    CORE65LPSVT 
HS65_LS_NAND2X29          319    1990.560      5.394      79.566    CORE65LPSVT 
HS65_LS_NAND2X43          295    2607.800      9.135     130.584    CORE65LPSVT 
HS65_LS_NAND2X5             3       6.240      0.003       0.123    CORE65LPSVT 
HS65_LS_NAND2X57           22     263.120      1.024      11.798    CORE65LPSVT 
HS65_LS_NAND2X7          9171   19075.680     23.159     772.705    CORE65LPSVT 
HS65_LS_NAND3AX6          124     451.360      0.433       6.046    CORE65LPSVT 
HS65_LS_NAND3X13           30     156.000      0.333       5.376    CORE65LPSVT 
HS65_LS_NAND3X19           16     108.160      0.268       3.739    CORE65LPSVT 
HS65_LS_NAND3X25            1       8.840      0.021       0.294    CORE65LPSVT 
HS65_LS_NAND3X5            68     176.800      0.178      10.440    CORE65LPSVT 
HS65_LS_NAND3X6            18      56.160      0.091       1.710    CORE65LPSVT 
HS65_LS_NAND4ABX6           3      12.480      0.024       0.347    CORE65LPSVT 
HS65_LS_NAND4X18           33     223.080      0.464      10.719    CORE65LPSVT 
HS65_LS_NAND4X27           45     374.400      1.005      20.962    CORE65LPSVT 
HS65_LS_NAND4X35            4      37.440      0.124       2.332    CORE65LPSVT 
HS65_LS_NOR2AX13          358    1489.280      3.347     143.574    CORE65LPSVT 
HS65_LS_NOR2AX19           37     211.640      0.405      11.925    CORE65LPSVT 
HS65_LS_NOR2AX25            4      27.040      0.051       1.048    CORE65LPSVT 
HS65_LS_NOR2AX3          3376    8777.600      8.667     347.029    CORE65LPSVT 
