============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  01:52:13 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate         Instances    Area        Library    
--------------------------------------------------------
HS65_LSS_XNOR2X12         238   1608.880    CORE65LPSVT 
HS65_LSS_XNOR2X6          391   1626.560    CORE65LPSVT 
HS65_LSS_XOR2X6           187    777.920    CORE65LPSVT 
HS65_LSS_XOR3X2            17    132.600    CORE65LPSVT 
HS65_LS_AND2X18           153    556.920    CORE65LPSVT 
HS65_LS_AND2X27           170    972.400    CORE65LPSVT 
HS65_LS_AND2X4             34     88.400    CORE65LPSVT 
HS65_LS_AND2X9             85    265.200    CORE65LPSVT 
HS65_LS_AOI112X4           34    123.760    CORE65LPSVT 
HS65_LS_AOI12X12           17     88.400    CORE65LPSVT 
HS65_LS_AOI12X6            85    265.200    CORE65LPSVT 
HS65_LS_AOI21X17           17    114.920    CORE65LPSVT 
HS65_LS_BFX106             44    526.240    CORE65LPSVT 
HS65_LS_BFX18              40    124.800    CORE65LPSVT 
HS65_LS_BFX27              69    251.160    CORE65LPSVT 
HS65_LS_BFX35               3     15.600    CORE65LPSVT 
HS65_LS_BFX44              31    177.320    CORE65LPSVT 
HS65_LS_BFX53               2     12.480    CORE65LPSVT 
HS65_LS_BFX62               2     15.600    CORE65LPSVT 
HS65_LS_BFX71              32    266.240    CORE65LPSVT 
HS65_LS_BFX9                3      6.240    CORE65LPSVT 
HS65_LS_CB4I6X9            34    141.440    CORE65LPSVT 
HS65_LS_CBI4I1X11          17    106.080    CORE65LPSVT 
HS65_LS_CNIVX21            15     46.800    CORE65LPSVT 
HS65_LS_CNIVX27            15     54.600    CORE65LPSVT 
HS65_LS_CNIVX34            34    159.120    CORE65LPSVT 
HS65_LS_CNIVX48            34    212.160    CORE65LPSVT 
HS65_LS_CNIVX7             68    106.080    CORE65LPSVT 
HS65_LS_DFPRQX18          104   1135.680    CORE65LPSVT 
HS65_LS_DFPRQX27           42    502.320    CORE65LPSVT 
HS65_LS_DFPRQX4           510   5304.000    CORE65LPSVT 
HS65_LS_DFPRQX9            54    561.600    CORE65LPSVT 
HS65_LS_FA1X18            255   3580.200    CORE65LPSVT 
HS65_LS_FA1X27            680  14497.600    CORE65LPSVT 
HS65_LS_FA1X4             340   3182.400    CORE65LPSVT 
HS65_LS_FA1X9             374   4084.080    CORE65LPSVT 
HS65_LS_HA1X18             51    371.280    CORE65LPSVT 
HS65_LS_HA1X4             204   1060.800    CORE65LPSVT 
HS65_LS_HA1X9             102    636.480    CORE65LPSVT 
HS65_LS_IVX18             731   1520.480    CORE65LPSVT 
HS65_LS_IVX2                1      1.560    CORE65LPSVT 
HS65_LS_IVX27             356   1110.720    CORE65LPSVT 
HS65_LS_IVX35             136    495.040    CORE65LPSVT 
HS65_LS_IVX40              17     70.720    CORE65LPSVT 
HS65_LS_IVX44              51    212.160    CORE65LPSVT 
HS65_LS_IVX53              17     88.400    CORE65LPSVT 
HS65_LS_IVX9             1158   1806.480    CORE65LPSVT 
HS65_LS_MUX21I1X12         34    229.840    CORE65LPSVT 
HS65_LS_MUX21X18           51    318.240    CORE65LPSVT 
HS65_LS_NAND2AX14         119    495.040    CORE65LPSVT 
HS65_LS_NAND2AX21         187   1069.640    CORE65LPSVT 
HS65_LS_NAND2AX29          68    459.680    CORE65LPSVT 
HS65_LS_NAND2AX7          153    477.360    CORE65LPSVT 
HS65_LS_NAND2X14          238    866.320    CORE65LPSVT 
HS65_LS_NAND2X21          238   1237.600    CORE65LPSVT 
HS65_LS_NAND2X29           51    318.240    CORE65LPSVT 
HS65_LS_NAND2X43           51    450.840    CORE65LPSVT 
HS65_LS_NAND2X7           765   1591.200    CORE65LPSVT 
HS65_LS_NAND3AX19          34    265.200    CORE65LPSVT 
HS65_LS_NAND3X19           17    114.920    CORE65LPSVT 
HS65_LS_NOR2AX13          119    495.040    CORE65LPSVT 
HS65_LS_NOR2AX19           34    194.480    CORE65LPSVT 
HS65_LS_NOR2AX3           357    928.200    CORE65LPSVT 
HS65_LS_NOR2AX6            51    159.120    CORE65LPSVT 
HS65_LS_NOR2X13           289   1051.960    CORE65LPSVT 
HS65_LS_NOR2X19            85    442.000    CORE65LPSVT 
HS65_LS_NOR2X25            68    424.320    CORE65LPSVT 
HS65_LS_NOR2X38            68    601.120    CORE65LPSVT 
HS65_LS_NOR2X6            816   1697.280    CORE65LPSVT 
HS65_LS_NOR3X18            17    150.280    CORE65LPSVT 
HS65_LS_NOR3X26            17    194.480    CORE65LPSVT 
HS65_LS_OA112X18           17     79.560    CORE65LPSVT 
