============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 23 2020  03:01:01 am
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
HS65_LS_CNIVX27            12       43.680      0.121       1.474    CORE65LPSVT 
HS65_LS_CNIVX34            14       65.520      0.169       2.685    CORE65LPSVT 
HS65_LS_CNIVX41            14       72.800      0.241       1.712    CORE65LPSVT 
HS65_LS_CNIVX45             1        6.240      0.020       0.176    CORE65LPSVT 
HS65_LS_CNIVX48             5       31.200      0.101       0.781    CORE65LPSVT 
HS65_LS_CNIVX55             1        6.760      0.020       0.425    CORE65LPSVT 
HS65_LS_CNIVX62            16      116.480      0.426       3.703    CORE65LPSVT 
HS65_LS_CNIVX7              3        4.680      0.005       0.095    CORE65LPSVT 
HS65_LS_CNIVX82            21      207.480      0.741       6.361    CORE65LPSVT 
HS65_LS_DFPHQX9         20382   211972.800    204.920   96999.149    CORE65LPSVT 
HS65_LS_DFPRQNX18           1       10.920      0.013       3.524    CORE65LPSVT 
HS65_LS_DFPRQNX9          777     8080.800      7.648    2523.069    CORE65LPSVT 
HS65_LS_DFPRQX18           10      109.200      0.132      33.875    CORE65LPSVT 
HS65_LS_DFPRQX27          129     1542.840      2.147     444.966    CORE65LPSVT 
HS65_LS_DFPRQX35          388     4842.240      7.814    1398.807    CORE65LPSVT 
HS65_LS_DFPRQX9            35      364.000      0.350     113.545    CORE65LPSVT 
HS65_LS_FA1X18           4098    57535.920     99.928    7423.567    CORE65LPSVT 
HS65_LS_FA1X27           2535    54046.200     95.780    6424.274    CORE65LPSVT 
HS65_LS_FA1X4           58224   544976.640    363.006   39120.142    CORE65LPSVT 
HS65_LS_FA1X9           23168   252994.560    253.566   24758.132    CORE65LPSVT 
HS65_LS_HA1X18           1196     8706.880     25.043    1030.603    CORE65LPSVT 
HS65_LS_HA1X27            255     3049.800      8.593     272.431    CORE65LPSVT 
HS65_LS_HA1X35             61      824.720      2.761      88.666    CORE65LPSVT 
HS65_LS_HA1X4            7090    36868.000     37.032    2096.746    CORE65LPSVT 
HS65_LS_HA1X9            1483     9253.920     14.431     726.116    CORE65LPSVT 
HS65_LS_IVX106            279     2466.360     11.959     124.656    CORE65LPSVT 
HS65_LS_IVX142              8       95.680      0.467       6.257    CORE65LPSVT 
HS65_LS_IVX18            8619    17927.520     46.032     787.297    CORE65LPSVT 
HS65_LS_IVX213             10      171.600      0.866       6.415    CORE65LPSVT 
HS65_LS_IVX27            1720     5366.400     15.820     222.974    CORE65LPSVT 
HS65_LS_IVX31              42      152.880      0.463       6.266    CORE65LPSVT 
HS65_LS_IVX35            2194     7986.160     27.539     315.332    CORE65LPSVT 
HS65_LS_IVX40              11       45.760      0.158       1.491    CORE65LPSVT 
HS65_LS_IVX44             885     3681.600     14.317     189.337    CORE65LPSVT 
HS65_LS_IVX53             514     2672.800     10.321     108.415    CORE65LPSVT 
HS65_LS_IVX62             114      652.080      2.698      24.559    CORE65LPSVT 
HS65_LS_IVX7               24       37.440      0.044       0.949    CORE65LPSVT 
HS65_LS_IVX71             456     2845.440     12.590     120.028    CORE65LPSVT 
HS65_LS_IVX9            43754    68256.240    107.118    2822.693    CORE65LPSVT 
HS65_LS_MUX21I1X12        864     5840.640     10.518     390.639    CORE65LPSVT 
HS65_LS_MUX21I1X18        193     2007.200      4.105     128.082    CORE65LPSVT 
HS65_LS_MUX21I1X24          7       87.360      0.199       6.658    CORE65LPSVT 
HS65_LS_MUX21I1X6         471     1959.360      2.996     103.254    CORE65LPSVT 
HS65_LS_MUX21X18          160      998.400      2.838      72.741    CORE65LPSVT 
HS65_LS_MUX21X4             1        4.160      0.005       0.207    CORE65LPSVT 
HS65_LS_MUX21X9            99      463.320      0.765      28.311    CORE65LPSVT 
HS65_LS_MUXI21X10          38      316.160      0.488      15.607    CORE65LPSVT 
HS65_LS_MUXI21X15          19      197.600      0.373       9.880    CORE65LPSVT 
HS65_LS_MUXI21X2           38      138.320      0.114       3.076    CORE65LPSVT 
