============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 27 2020  09:56:13 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                            Leakage   Dynamic    Total   
      Instance       Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------------
INTER_8              13626   153.419 17878.983 18032.402 
  gen_filter[6].U_S0  1437    15.878  1571.875  1587.752 
  gen_filter[7].U_S0  1439    15.846  1520.634  1536.481 
  gen_filter[8].U_S0  1443    15.748  1704.975  1720.723 
  gen_filter[2].U_S0  1435    15.710  1657.168  1672.878 
  gen_filter[1].U_S0  1437    15.706  1624.574  1640.280 
  gen_filter[0].U_S0  1440    15.697  1682.058  1697.755 
  gen_filter[3].U_S0  1434    15.692  1625.257  1640.949 
  gen_filter[5].U_S0  1434    15.678  1558.061  1573.739 
  gen_filter[4].U_S0  1432    15.646  1609.905  1625.550 

