============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:01:22 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    addinc_PUs.._S1_add_18_16    14     0.080     5.217     5.423         10.640            10.720 
    addinc_PUs.._S1_add_18_16    14     0.080     5.176     7.622         12.799            12.879 
    addinc_PUs.._S1_add_18_16    14     0.080     5.648     8.405         14.053            14.133 
    addinc_PUs..S10_add_41_28     3     0.042     2.147    11.825         13.972            14.014 
    addinc_PUs..S10_add_41_28     3     0.042     2.165    11.888         14.053            14.095 
    addinc_PUs..S10_add_41_28     3     0.042     2.411    12.879         15.291            15.332 
    addinc_PUs..S10_add_41_28     3     0.041     2.471    13.167         15.637            15.679 
    addinc_PUs..S10_add_41_28     3     0.041     2.050    11.284         13.335            13.376 
    addinc_PUs..S10_add_41_28     3     0.041     2.103    11.892         13.996            14.037 
    addinc_PUs..S10_add_41_28     3     0.017     1.312     1.518          2.830             2.848 
    addinc_PUs..S10_add_41_28     3     0.017     1.179     1.278          2.456             2.474 
    addinc_PUs..S10_add_41_28     3     0.017     1.142     1.135          2.277             2.295 
    addinc_PUs..S10_add_41_28     3     0.017     1.130     1.186          2.316             2.334 
    addinc_PUs..S10_add_41_28     3     0.017     1.174     1.244          2.418             2.435 
    addinc_PUs..S10_add_41_28     3     0.017     1.104     1.115          2.219             2.237 
    addinc_PUs..S10_add_41_28     3     0.017     1.206     1.278          2.483             2.501 
    addinc_PUs..S10_add_41_28     3     0.017     1.030     1.145          2.174             2.192 
    addinc_PUs..S10_add_41_28     3     0.017     1.456     1.579          3.035             3.052 
    addinc_PUs..S10_add_41_28     3     0.017     0.910     0.894          1.804             1.822 
    addinc_PUs..S10_add_41_28     3     0.017     0.925     0.933          1.857             1.874 
  U_crtl                         83     0.442    56.249    20.796         77.045            77.487 
    inc_add_679_29                7     0.035     0.343     0.284          0.628             0.663 
    inc_add_649_29                6     0.030     0.370     0.308          0.677             0.707 
    inc_add_664_29                6     0.030     0.158     0.132          0.289             0.319 
    lt_577_18                     2     0.011     0.365     0.362          0.727             0.738 
    lt_584_18                     2     0.008     0.030     0.020          0.051             0.059 
    lt_591_18                     2     0.008     0.044     0.040          0.084             0.092 
  clipping[2].U_clip             11     0.049     3.666     2.920          6.587             6.636 
    gte_446_34                    3     0.010     0.572     1.142          1.714             1.724 
  clipping[6].U_clip             11     0.049     3.844     2.857          6.701             6.750 
    gte_446_34                    3     0.010     0.421     0.909          1.330             1.340 
  clipping[3].U_clip             11     0.049     3.608     2.811          6.419             6.468 
    gte_446_34                    3     0.010     0.479     1.017          1.496             1.506 
  clipping[9].U_clip             11     0.049     3.949     3.158          7.108             7.157 
    gte_446_34                    3     0.010     0.415     1.133          1.548             1.558 
  clipping[14].U_clip            11     0.049     3.355     2.502          5.856             5.905 
    gte_446_34                    3     0.010     0.360     0.801          1.161             1.171 
  clipping[15].U_clip            11     0.049     3.561     2.686          6.247             6.296 
    gte_446_34                    3     0.010     0.423     0.908          1.331             1.341 
  clipping[5].U_clip             11     0.049     3.491     2.747          6.238             6.287 
    gte_446_34                    3     0.010     0.449     1.000          1.449             1.459 
  clipping[0].U_clip             11     0.049     3.638     2.691          6.329             6.378 
    gte_446_34                    3     0.011     0.448     0.851          1.299             1.310 
  clipping[8].U_clip             11     0.049     3.972     3.167          7.138             7.187 
    gte_446_34                    3     0.010     0.641     1.249          1.890             1.900 
  clipping[11].U_clip            11     0.049     3.655     2.670          6.325             6.373 
    gte_446_34                    3     0.010     0.325     0.784          1.109             1.119 
  clipping[12].U_clip            11     0.049     3.478     2.572          6.050             6.099 
    gte_446_34                    3     0.010     0.230     0.732          0.963             0.973 
  clipping[1].U_clip              3     0.014     0.713     0.417          1.130             1.144 
  clipping[13].U_clip             3     0.014     0.639     0.371          1.010             1.025 
  clipping[4].U_clip              3     0.014     0.610     0.356          0.965             0.979 
  clipping[16].U_clip             3     0.014     0.688     0.402          1.090             1.104 
  clipping[10].U_clip             3     0.014     0.691     0.402          1.093             1.107 
  clipping[7].U_clip              3     0.014     0.719     0.417          1.137             1.151 
  clipping[2..ip_gte_446_34       3     0.011     0.342     0.840          1.182             1.192 
  clipping[3..ip_gte_446_34       3     0.011     0.347     0.759          1.106             1.116 
  clipping[4..ip_gte_446_34       3     0.010     0.200     0.437          0.637             0.648 
  clipping[4..ip_gte_446_34       3     0.010     0.512     1.179          1.691             1.701 
  clipping[5..ip_gte_446_34       3     0.010     0.578     1.055          1.633             1.644 
  clipping[4..ip_gte_446_34       3     0.010     0.547     1.116          1.662             1.673 
  clipping[2..ip_gte_446_34       3     0.010     0.281     0.806          1.086             1.097 
  clipping[3..ip_gte_446_34       3     0.010     0.408     0.713          1.121             1.131 
  clipping[3..ip_gte_446_34       3     0.010     0.279     0.726          1.006             1.016 
  clipping[2..ip_gte_446_34       3     0.010     0.341     0.998          1.339             1.349 
  clipping[4..ip_gte_446_34       3     0.010     0.510     1.180          1.690             1.700 
  clipping[3..ip_gte_446_34       3     0.010     0.165     0.579          0.744             0.754 
  clipping[3..ip_gte_446_34       3     0.010     0.191     0.675          0.866             0.876 
  clipping[1..ip_gte_446_34       3     0.010     0.374     0.855          1.229             1.239 
  clipping[2..ip_gte_446_34       3     0.010     0.311     0.902          1.213             1.224 
  clipping[1..ip_gte_446_34       3     0.010     0.458     1.065          1.524             1.534 
  clipping[2..ip_gte_446_34       3     0.010     0.222     0.771          0.993             1.003 
  clipping[2..ip_gte_446_34       3     0.010     0.227     0.613          0.840             0.850 
  clipping[4..ip_gte_446_34       3     0.010     0.385     1.191          1.577             1.587 
  clipping[2..ip_gte_446_34       3     0.010     0.305     0.981          1.286             1.296 
  clipping[3..ip_gte_446_34       3     0.010     0.253     0.789          1.042             1.052 
  clipping[4..ip_gte_446_34       3     0.010     0.315     0.743          1.057             1.067 
  clipping[3..ip_gte_446_34       3     0.010     0.516     1.178          1.694             1.704 

