============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  10:58:52 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                               Module                   Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------
filter_regular                                                                32850     197834     84258       282092 
  S0[7].U0                          filter_6taps_bit_width10_7                 1739       9774      4022        13796 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_1          55        355       107          462 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_1          49        354        99          453 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_1          49        349        99          448 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_1          47        337        94          431 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_1         43        315        82          397 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_1          37        300        75          375 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_1          44        273        76          349 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_1          39        277        71          347 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_1         38        271        68          339 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_1          37        251        65          315 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_1         33        248        60          308 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_1         31        242        56          299 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_1          33        230        60          290 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_1         32        234        55          289 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_1         28        221        53          274 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_1          27        218        48          266 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_1           26        211        49          259 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_1         24        184        41          225 
    U_S_44_add_63_8                 add_signed_245_674                           19        125        24          149 
    U_S_25_add_63_8                 add_signed_245_676                           19        124        24          148 
    U_S_15_add_63_8                 add_signed_245_677                           19        124        24          148 
    U_S95_add_63_8                  add_signed_245_678                           19        124        24          148 
    U_S85_add_63_8                  add_signed_245_679                           19        124        24          148 
    U_S14_add_90_9                  add_signed_308_633                           19        124        24          148 
    U_S4_add_90_9                   add_signed_318_622                           19        124        24          148 
    U_S_35_add_63_8                 add_signed_245_675                           18        120        22          142 
  S0[2].U0                          filter_6taps_bit_width10_2                 1738       9773      4022        13795 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_2_534      55        355       107          462 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_2_532      49        354        99          453 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_2_528      49        349        99          448 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_2_530      47        337        94          431 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_2_533     43        315        82          397 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_2_524      37        300        75          375 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_2_536      44        273        76          349 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_2_537      39        277        71          347 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_2_539     38        271        68          339 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_2_525      37        251        65          315 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_2_529     33        248        60          308 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_2_526     31        242        56          299 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_2_527      33        230        60          290 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_2_531     32        234        55          289 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_2_538     28        221        53          274 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_2_535      27        218        48          266 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_2_523       26        211        49          259 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_2_540     23        182        41          223 
    U_S_44_add_63_8                 add_signed_375_1051                          19        124        24          148 
    U_S_25_add_63_8                 add_signed_375_1053                          19        124        24          148 
    U_S_15_add_63_8                 add_signed_375_1054                          19        124        24          148 
    U_S95_add_63_8                  add_signed_375_1055                          19        124        24          148 
    U_S85_add_63_8                  add_signed_375_1056                          19        124        24          148 
    U_S14_add_90_9                  add_signed_438_978                           19        124        24          148 
    U_S4_add_90_9                   add_signed_448_959                           19        124        24          148 
    U_S_35_add_63_8                 add_signed_375_1052                          18        120        22          142 
  S0[13].U0                         filter_6taps_bit_width10_13                1738       9773      4022        13795 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_2_416      55        355       107          462 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_2_414      49        354        99          453 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_2_410      49        349        99          448 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_2_412      47        337        94          431 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_2_415     43        315        82          397 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_2_406      37        300        75          375 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_2_418      44        273        76          349 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_2_419      39        277        71          347 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_2_421     38        271        68          339 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_2_407      37        251        65          315 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_2_411     33        248        60          308 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_2_408     31        242        56          299 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_2_409      33        230        60          290 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_2_413     32        234        55          289 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_2_420     28        221        53          274 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_2_417      27        218        48          266 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_2_405       26        211        49          259 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_2_422     23        182        41          223 
    U_S_44_add_63_8                 add_signed_352_1026                          19        125        24          149 
    U_S_25_add_63_8                 add_signed_352_1028                          19        124        24          148 
    U_S_15_add_63_8                 add_signed_352_1029                          19        124        24          148 
    U_S95_add_63_8                  add_signed_352_1030                          19        124        24          148 
    U_S85_add_63_8                  add_signed_352_1031                          19        124        24          148 
    U_S14_add_90_9                  add_signed_415_953                           19        124        24          148 
    U_S4_add_90_9                   add_signed_425_934                           19        124        24          148 
    U_S_35_add_63_8                 add_signed_352_1027                          18        120        22          142 
  S0[5].U0                          filter_6taps_bit_width10_5                 1738       9772      4022        13794 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_2_475      55        355       107          462 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_2_473      49        354        99          453 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_2_469      49        349        99          448 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_2_471      47        337        94          431 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_2_474     43        315        82          397 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_2_465      37        300        75          375 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_2_477      44        273        76          349 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_2_478      39        277        71          347 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_2_480     38        271        68          339 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_2_466      37        251        65          315 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_2_470     33        248        60          308 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_2_467     31        242        56          299 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_2_468      33        230        60          290 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_2_472     32        234        55          289 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_2_479     28        221        53          274 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_2_476      27        218        48          266 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_2_464       26        211        49          259 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_2_481     23        182        41          223 
    U_S_44_add_63_8                 add_signed_357_1031                          19        125        24          149 
    U_S_25_add_63_8                 add_signed_357_1033                          19        124        24          148 
    U_S_15_add_63_8                 add_signed_357_1034                          19        124        24          148 
    U_S95_add_63_8                  add_signed_357_1035                          19        124        24          148 
    U_S85_add_63_8                  add_signed_357_1036                          19        124        24          148 
    U_S14_add_90_9                  add_signed_420_958                           19        124        24          148 
    U_S4_add_90_9                   add_signed_430_939                           19        124        24          148 
    U_S_35_add_63_8                 add_signed_357_1032                          18        120        22          142 
  S0[16].U0                         filter_6taps_bit_width10_16                1738       9770      4022        13792 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_2          55        355       107          462 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_2          49        354        99          453 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_2          49        349        99          448 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_2          47        337        94          431 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_2         43        315        82          397 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_2          37        300        75          375 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_2          44        273        76          349 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_2          39        277        71          347 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_2         38        271        68          339 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_2          37        251        65          315 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_2         33        248        60          308 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_2         31        240        58          298 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_2          33        230        60          290 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_2         32        234        55          289 
