============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  08:59:03 am
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate         Instances    Area        Library    
HS65_LS_NOR2X38            45    397.800    CORE65LPSVT 
HS65_LS_NOR2X6            936   1946.880    CORE65LPSVT 
HS65_LS_NOR2X9             18     65.520    CORE65LPSVT 
HS65_LS_NOR3AX9             9     51.480    CORE65LPSVT 
HS65_LS_NOR3X13             9     60.840    CORE65LPSVT 
HS65_LS_OA112X9            36    149.760    CORE65LPSVT 
HS65_LS_OA12X18            45    187.200    CORE65LPSVT 
HS65_LS_OA12X27            45    327.600    CORE65LPSVT 
HS65_LS_OA12X35            27    210.600    CORE65LPSVT 
HS65_LS_OA12X9             99    360.360    CORE65LPSVT 
HS65_LS_OA212X9            18    102.960    CORE65LPSVT 
HS65_LS_OA22X9             27    126.360    CORE65LPSVT 
HS65_LS_OA31X18            18     93.600    CORE65LPSVT 
HS65_LS_OAI12X12          126    655.200    CORE65LPSVT 
HS65_LS_OAI12X18           90    608.400    CORE65LPSVT 
HS65_LS_OAI12X24           72    636.480    CORE65LPSVT 
HS65_LS_OAI12X3            18     46.800    CORE65LPSVT 
HS65_LS_OAI12X6           135    421.200    CORE65LPSVT 
HS65_LS_OAI212X5           18     74.880    CORE65LPSVT 
HS65_LS_OAI21X18           18    121.680    CORE65LPSVT 
HS65_LS_OAI21X3           144    374.400    CORE65LPSVT 
HS65_LS_OAI22X6            18     65.520    CORE65LPSVT 
HS65_LS_OAI32X9            36    280.800    CORE65LPSVT 
HS65_LS_OR2X18             72    262.080    CORE65LPSVT 
HS65_LS_OR2X27             18    102.960    CORE65LPSVT 
HS65_LS_OR2X9             162    505.440    CORE65LPSVT 
HS65_LS_PAO2X9             54    252.720    CORE65LPSVT 
HS65_LS_PAOI2X11            9     70.200    CORE65LPSVT 
HS65_LS_PAOI2X6            27    112.320    CORE65LPSVT 
HS65_LS_XNOR2X18          252   1703.520    CORE65LPSVT 
HS65_LS_XNOR2X27            9     93.600    CORE65LPSVT 
HS65_LS_XNOR2X35            9    102.960    CORE65LPSVT 
HS65_LS_XNOR2X9            45    234.000    CORE65LPSVT 
HS65_LS_XOR2X18           405   2737.800    CORE65LPSVT 
HS65_LS_XOR2X27            81    842.400    CORE65LPSVT 
HS65_LS_XOR2X35            36    411.840    CORE65LPSVT 
HS65_LS_XOR2X4             90    421.200    CORE65LPSVT 
HS65_LS_XOR2X9             45    234.000    CORE65LPSVT 
--------------------------------------------------------
total                   13576  65641.160                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           410  4312.880    6.6 
inverter            2061  4870.320    7.4 
buffer                98   721.760    1.1 
logic              11007 55736.200   84.9 
physical_cells         0     0.000    0.0 
------------------------------------------
total              13576 65641.160  100.0 

