============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:34 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                 Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------
INTER_2                                                                   15386      86625     32676       119302 
  gen_filter[32].U_S0               filter_2_bit_width10_32                 428       2251       845         3095 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_26     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_26      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1369                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1368                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1304                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1303                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_32               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1695                   3         24         3           27 
  gen_filter[0].U_S0                filter_2_bit_width10                    428       2251       845         3095 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12        54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14         54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry                         75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1420                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24                      61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1355                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8                  3         24         3           27 
      addinc_add_41_28              add_unsigned_carry                        3         24         3           27 
  gen_filter[31].U_S0               filter_2_bit_width10_31                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_25     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_25      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1371                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1370                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1306                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1305                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_31               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1696                   3         24         3           27 
  gen_filter[30].U_S0               filter_2_bit_width10_30                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_24     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_24      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1373                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1372                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1308                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1307                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_30               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1697                   3         24         3           27 
  gen_filter[29].U_S0               filter_2_bit_width10_29                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_22     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_22      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1377                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1376                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1312                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1311                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_29               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1699                   3         24         3           27 
  gen_filter[28].U_S0               filter_2_bit_width10_28                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_21     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_21      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1379                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1378                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1314                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1313                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_28               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1700                   3         24         3           27 
  gen_filter[27].U_S0               filter_2_bit_width10_27                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_20     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_20      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1381                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1380                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1316                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1315                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_27               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1701                   3         24         3           27 
  gen_filter[26].U_S0               filter_2_bit_width10_26                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_19     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_19      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1383                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1382                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1318                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1317                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_26               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1702                   3         24         3           27 
  gen_filter[25].U_S0               filter_2_bit_width10_25                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_18     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_18      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1385                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1384                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1320                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1319                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_25               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1703                   3         24         3           27 
  gen_filter[24].U_S0               filter_2_bit_width10_24                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_17     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_17      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1387                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1386                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1322                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1321                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_24               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1704                   3         24         3           27 
  gen_filter[23].U_S0               filter_2_bit_width10_23                 427       2251       838         3088 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_16     54        427        98          526 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_16      54        427        98          526 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_1389                    75        343       123          467 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_1388                    75        343       123          467 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_1324                 61        281        92          374 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_1323                 61        281        92          374 
    U_S10                           somador_n_np1_bit_width8_23               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_1705                   3         24         3           27 
