============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:34 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        
       Gate        Instances    Area        Library    
-------------------------------------------------------
HS65_LSS_XNOR2X12        264   1784.640    CORE65LPSVT 
HS65_LSS_XNOR2X6         660   2745.600    CORE65LPSVT 
HS65_LSS_XOR2X6          198    823.680    CORE65LPSVT 
HS65_LS_AND2X18           66    240.240    CORE65LPSVT 
HS65_LS_AND2X27          132    755.040    CORE65LPSVT 
HS65_LS_AND2X35           66    411.840    CORE65LPSVT 
HS65_LS_AND2X9           198    617.760    CORE65LPSVT 
HS65_LS_AOI13X15          66    583.440    CORE65LPSVT 
HS65_LS_BFX18             32     99.840    CORE65LPSVT 
HS65_LS_BFX27            132    480.480    CORE65LPSVT 
HS65_LS_BFX53             64    399.360    CORE65LPSVT 
HS65_LS_BFX9              66    137.280    CORE65LPSVT 
HS65_LS_CB4I6X9           66    274.560    CORE65LPSVT 
HS65_LS_CBI4I1X16         66    583.440    CORE65LPSVT 
HS65_LS_CBI4I1X21        132   1578.720    CORE65LPSVT 
HS65_LS_CBI4I1X5          66    240.240    CORE65LPSVT 
HS65_LS_CNIVX21           82    255.840    CORE65LPSVT 
HS65_LS_CNIVX27           66    240.240    CORE65LPSVT 
HS65_LS_CNIVX34           66    308.880    CORE65LPSVT 
HS65_LS_DFPRQX18          32    349.440    CORE65LPSVT 
HS65_LS_DFPRQX4          792   8236.800    CORE65LPSVT 
HS65_LS_DFPRQX9          308   3203.200    CORE65LPSVT 
HS65_LS_FA1X18           264   3706.560    CORE65LPSVT 
HS65_LS_FA1X27           528  11256.960    CORE65LPSVT 
HS65_LS_FA1X4            198   1853.280    CORE65LPSVT 
HS65_LS_FA1X9             66    720.720    CORE65LPSVT 
HS65_LS_HA1X18           132    960.960    CORE65LPSVT 
HS65_LS_HA1X27           132   1578.720    CORE65LPSVT 
HS65_LS_HA1X4            165    858.000    CORE65LPSVT 
HS65_LS_HA1X9            198   1235.520    CORE65LPSVT 
HS65_LS_IVX18           1124   2337.920    CORE65LPSVT 
HS65_LS_IVX2               1      1.560    CORE65LPSVT 
HS65_LS_IVX22             66    205.920    CORE65LPSVT 
HS65_LS_IVX27            378   1179.360    CORE65LPSVT 
HS65_LS_IVX31             66    240.240    CORE65LPSVT 
HS65_LS_IVX35            132    480.480    CORE65LPSVT 
HS65_LS_IVX44             66    274.560    CORE65LPSVT 
HS65_LS_IVX62             66    377.520    CORE65LPSVT 
HS65_LS_IVX9             660   1029.600    CORE65LPSVT 
HS65_LS_MUXI21X10         66    549.120    CORE65LPSVT 
HS65_LS_MUXI21X5          66    308.880    CORE65LPSVT 
HS65_LS_NAND2AX14        462   1921.920    CORE65LPSVT 
HS65_LS_NAND2AX21        132    755.040    CORE65LPSVT 
HS65_LS_NAND2AX7         462   1441.440    CORE65LPSVT 
HS65_LS_NAND2X14         594   2162.160    CORE65LPSVT 
HS65_LS_NAND2X21         198   1029.600    CORE65LPSVT 
HS65_LS_NAND2X29          66    411.840    CORE65LPSVT 
HS65_LS_NAND2X57          66    789.360    CORE65LPSVT 
HS65_LS_NAND2X7          660   1372.800    CORE65LPSVT 
HS65_LS_NOR2AX19         198   1132.560    CORE65LPSVT 
HS65_LS_NOR2AX3          528   1372.800    CORE65LPSVT 
HS65_LS_NOR2AX6          132    411.840    CORE65LPSVT 
HS65_LS_NOR2X13          132    480.480    CORE65LPSVT 
HS65_LS_NOR2X19          132    686.400    CORE65LPSVT 
HS65_LS_NOR2X25          132    823.680    CORE65LPSVT 
HS65_LS_NOR2X38          132   1166.880    CORE65LPSVT 
HS65_LS_NOR2X6           396    823.680    CORE65LPSVT 
HS65_LS_OA12X18          330   1372.800    CORE65LPSVT 
HS65_LS_OA12X27           66    480.480    CORE65LPSVT 
HS65_LS_OA12X9            66    240.240    CORE65LPSVT 
HS65_LS_OA22X9            66    308.880    CORE65LPSVT 
HS65_LS_OAI112X11         66    411.840    CORE65LPSVT 
HS65_LS_OAI112X5          66    240.240    CORE65LPSVT 
HS65_LS_OAI12X12          66    343.200    CORE65LPSVT 
HS65_LS_OAI12X18          66    446.160    CORE65LPSVT 
HS65_LS_OAI13X15          66    583.440    CORE65LPSVT 
HS65_LS_OAI211X11         66    411.840    CORE65LPSVT 
HS65_LS_OAI21X18          66    446.160    CORE65LPSVT 
HS65_LS_OAI21X3           66    171.600    CORE65LPSVT 
HS65_LS_OR2X18            66    240.240    CORE65LPSVT 
HS65_LS_OR2X35            66    411.840    CORE65LPSVT 
HS65_LS_OR2X9            660   2059.200    CORE65LPSVT 
