============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  11:16:42 am
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                 Module                    Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------------------------------------------
INTER_6                                                                          79929     438607    172981       611588 
  gen_filter[10].U_S0               filter_6_bit_width10_10                       1208       6389      2416         8804 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_2_339         84        667       159          826 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_298          101        578       185          763 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_2_338          83        593       158          752 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_299_10        97        558       181          740 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_295           64        423       109          532 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_297           88        379       145          524 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_300          65        392       117          508 
  gen_filter[3].U_S0                filter_6_bit_width10_3                        1210       6383      2417         8800 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_4_313         86        678       162          839 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_298_1299     101        573       185          758 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_4_312          83        582       158          741 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_299_3         97        558       181          740 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_295_1310      64        423       109          532 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_297_1124      88        379       145          524 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_300_1330     65        392       117          508 
  gen_filter[6].U_S0                filter_6_bit_width10_6                        1210       6378      2419         8797 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_7_325         84        664       159          823 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_298_1302     101        573       185          758 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_7_324          83        593       158          752 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_299_6         97        558       181          740 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_295_1313      64        423       109          532 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_297_1127      88        379       145          524 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_300_1333     65        392       117          508 
  gen_filter[8].U_S0                filter_6_bit_width10_8                        1210       6358      2419         8777 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_9_333         84        664       159          823 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_298_1304     101        578       185          763 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_9_332          83        593       158          752 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_299_8         97        558       181          740 
