============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  04:23:55 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
HS65_LS_PAO2X18           14     80.080    CORE65LPSVT 
HS65_LS_PAO2X27            1      9.880    CORE65LPSVT 
HS65_LS_PAO2X9            15     70.200    CORE65LPSVT 
HS65_LS_PAOI2X11          10     78.000    CORE65LPSVT 
HS65_LS_PAOI2X17          10    109.200    CORE65LPSVT 
HS65_LS_XNOR2X18          50    338.000    CORE65LPSVT 
HS65_LS_XNOR2X9           20    104.000    CORE65LPSVT 
HS65_LS_XOR2X18           20    135.200    CORE65LPSVT 
HS65_LS_XOR2X27           20    208.000    CORE65LPSVT 
HS65_LS_XOR2X35           10    114.400    CORE65LPSVT 
-------------------------------------------------------
total                   2342  13214.760                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           180  1872.000   14.2 
inverter             425  1058.200    8.0 
buffer                42   156.000    1.2 
logic               1695 10128.560   76.6 
physical_cells         0     0.000    0.0 
------------------------------------------
total               2342 13214.760  100.0 

