============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  05:15:01 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                 Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------
filter_regular                                                            20984     104592     46442       151034 
  S0[0].U0                          filter_6taps_bit_width10               4001      18879      8344        27223 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609      132        769       254         1023 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619      108        621       200          820 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133        85        617       165          782 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627       96        604       178          782 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138        84        590       160          750 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147        80        590       154          745 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143        52        596       101          698 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117       117        465       223          689 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113      114        465       216          681 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155        90        505       176          681 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153       104        374       196          570 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614       59        459       105          563 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165         73        383       138          520 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119        55        380       100          480 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149        37        409        65          474 
    addinc_U_2_U_S0_add_63_12       add_signed_carry_56_1388                 73        350       120          470 
    U_S20_add_90_9                  add_signed_426                           74        328       121          449 
    addinc_U_3_U_S0_add_63_12       add_signed_carry_56_1387                 73        317       121          438 
    addinc_U_S83_add_63_12          add_signed_carry_1190_1517               79        310       127          437 
    U_S_34_add_90_9                 add_signed_344                           91        268       152          419 
