============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 13 2020  06:10:23 pm
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                   Instance                                     Module                    Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------
  S0[12].U0_csa_tree_U_S1_5_add_59_8_groupi   csa_tree_U_S1_5_add_59_8_group_325_687_1       92        490       170          660 
  S0[12].U0_csa_tree_U_S15_5_add_59_8_groupi  csa_tree_U_S15_5_add_59_8_group_321_1_754      87        478       166          645 
  S0[10].U0_csa_tree_U_S2_6_add_59_8_groupi   csa_tree_U_S2_6_add_59_8_group_313_690         84        435       154          589 
  S0[10].U0_csa_tree_U_S11_6_add_59_12_groupi csa_tree_U_S11_6_add_59_12_group_261_732       43        479        78          557 
  S0[10].U0_U_S12_7_add_59_8                  add_signed_465_951                             96        393       161          554 
  S0[12].U0_csa_tree_U_S9_3_add_84_9_groupi   csa_tree_U_S9_3_add_84_9_group_279_1_727       72        418       129          547 
  S0[12].U0_csa_tree_U_S8_5_add_59_8_groupi   csa_tree_U_S8_5_add_59_8_group_273_721_1       91        376       167          543 
  S0[12].U0_csa_tree_U_S7_3_add_84_9_groupi   csa_tree_U_S7_3_add_84_9_group_281_1_719       71        418       125          543 
  S0[10].U0_csa_tree_U_S8_5_add_59_8_groupi   csa_tree_U_S8_5_add_59_8_group_273_721         92        370       168          538 
  S0[12].U0_csa_tree_U_S4_7_add_59_12_groupi  csa_tree_U_S4_7_add_59_12_group_295_1_704      54        428        98          527 
  S0[12].U0_U_S12_7_add_59_8                  add_signed_465_948                             97        362       163          526 
  S0[10].U0_csa_tree_U_S9_3_add_84_9_groupi   csa_tree_U_S9_3_add_84_9_group_279_724         73        389       131          521 
  S0[10].U0_csa_tree_U_S4_7_add_59_12_groupi  csa_tree_U_S4_7_add_59_12_group_295_700        59        403       107          510 
  S0[12].U0_csa_tree_U_S12_3_add_84_9_groupi  csa_tree_U_S12_3_add_84_9_group_259_1_741      65        384       120          504 
  S0[10].U0_csa_tree_U_S4_2_add_84_9_groupi   csa_tree_U_S4_2_add_84_9_group_303_703         52        401        97          498 
  S0[10].U0_csa_tree_U_S7_3_add_84_9_groupi   csa_tree_U_S7_3_add_84_9_group_281_717         63        383       114          496 
